ym,hour,total_injured,total_killed,pedestrians_injured,pedestrians_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed
14-06,11,168,2,57,1,16,0,95,1
14-06,12,150,1,36,0,22,1,92,0
14-06,13,170,1,32,1,20,0,118,0
14-06,14,243,3,56,0,24,1,163,2
14-06,15,245,0,59,0,25,0,161,0
14-06,16,233,1,58,0,37,0,138,1
14-06,17,269,0,47,0,33,0,189,0
14-06,18,259,0,86,0,30,0,143,0
14-06,19,253,1,56,0,50,0,147,1
14-06,2,68,1,9,1,2,0,57,0
14-06,20,203,0,52,0,33,0,118,0
14-06,21,141,1,39,1,23,0,79,0
14-06,22,159,1,26,0,15,0,118,1
14-06,23,154,0,20,0,16,0,118,0
14-06,3,56,0,7,0,3,0,46,0
14-06,4,57,1,7,0,4,1,46,0
14-06,5,55,0,8,0,1,0,46,0
14-06,6,76,1,15,1,6,0,55,0
14-06,7,84,0,34,0,5,0,45,0
14-06,8,245,1,54,0,15,0,176,1
14-06,9,173,1,49,1,24,0,100,0
14-07,0,123,0,21,0,13,0,89,0
14-07,1,80,1,13,0,4,0,63,1
14-07,10,109,0,29,0,18,0,62,0
14-07,11,157,2,36,2,25,0,96,0
14-07,12,164,1,39,1,18,0,107,0
14-07,13,202,2,48,2,27,0,127,0
14-07,14,208,1,36,0,27,1,145,0
14-07,15,208,1,32,0,26,0,150,1
14-07,16,248,3,39,1,31,0,178,2
14-07,17,271,0,54,0,35,0,182,0
14-07,18,243,1,47,0,45,0,151,1
14-07,19,208,1,50,0,38,0,120,1
14-07,2,54,1,9,0,5,0,40,1
14-07,20,161,3,35,3,37,0,89,0
14-07,21,191,1,48,1,32,0,111,0
14-07,22,173,0,31,0,29,0,113,0
14-07,23,136,0,34,0,17,0,85,0
14-07,3,28,0,7,0,2,0,19,0
14-07,4,43,1,7,1,5,0,31,0
14-07,5,54,0,7,0,4,0,43,0
14-07,6,39,0,4,0,5,0,30,0
14-07,7,71,1,13,1,8,0,50,0
14-07,8,142,0,31,0,23,0,88,0
14-07,9,147,3,26,1,18,1,103,1
14-08,0,83,0,15,0,7,0,61,0
14-08,1,72,0,4,0,7,0,61,0
14-08,10,119,0,25,0,6,0,88,0
14-08,11,148,0,36,0,18,0,94,0
14-08,12,146,0,30,0,25,0,91,0
14-08,13,182,0,44,0,22,0,116,0
14-08,14,219,1,40,1,28,0,151,0
14-08,15,196,0,46,0,23,0,127,0
14-08,16,263,0,55,0,37,0,171,0
14-08,17,229,0,34,0,31,0,164,0
14-08,18,232,0,51,0,34,0,147,0
14-08,19,203,0,46,0,34,0,123,0
14-08,2,58,1,5,1,7,0,46,0
14-08,20,223,1,44,1,55,0,124,0
14-08,21,158,0,33,0,23,0,102,0
14-08,22,120,0,24,0,27,0,69,0
14-08,23,128,0,14,0,14,0,100,0
14-08,3,62,0,9,0,9,0,44,0
14-08,4,50,2,10,1,1,0,39,1
14-08,5,39,1,7,0,0,1,32,0
14-08,6,47,1,8,1,4,0,35,0
14-08,7,79,1,17,1,7,0,55,0
14-08,8,147,2,33,2,20,0,94,0
14-08,9,151,2,30,0,26,2,95,0
14-09,0,50,1,12,0,9,1,29,0
14-09,1,56,0,7,0,10,0,39,0
14-09,10,123,1,24,1,13,0,86,0
14-09,11,133,0,29,0,17,0,87,0
14-09,12,155,0,42,0,11,0,102,0
14-09,13,173,3,35,2,25,0,113,1
14-09,14,181,0,46,0,30,0,105,0
14-09,15,196,0,33,0,32,0,131,0
14-09,16,267,2,54,1,37,0,176,1
14-09,17,243,1,38,1,37,0,168,0
14-09,18,254,0,47,0,38,0,169,0
14-09,19,191,2,42,1,30,0,119,1
14-09,2,32,0,9,0,0,0,23,0
14-09,20,190,0,39,0,33,0,118,0
14-09,21,148,0,36,0,25,0,87,0
14-09,22,122,3,21,1,16,0,85,2
14-09,23,116,0,25,0,11,0,80,0
14-09,3,51,1,5,1,1,0,45,0
14-09,4,40,0,6,0,3,0,31,0
14-09,5,41,1,5,1,6,0,30,0
14-09,6,70,0,11,0,3,0,56,0
14-09,7,89,1,19,0,12,0,58,1
14-09,8,225,1,48,1,17,0,160,0
14-09,9,154,2,31,1,24,0,99,1
14-10,0,83,0,15,0,11,0,57,0
14-10,1,69,1,14,1,4,0,51,0
14-10,10,104,0,28,0,15,0,61,0
14-10,11,157,0,43,0,21,0,93,0
14-10,12,178,2,31,2,31,0,116,0
14-10,13,196,1,44,1,19,0,133,0
14-10,14,224,1,53,1,23,0,148,0
14-10,15,206,0,58,0,20,0,128,0
14-10,16,273,0,64,0,29,0,180,0
14-10,17,216,0,54,0,28,0,134,0
14-10,18,241,1,57,1,29,0,155,0
14-10,19,220,1,75,1,16,0,129,0
14-10,2,39,0,5,0,4,0,30,0
14-10,20,213,0,61,0,33,0,119,0
14-10,21,177,1,42,1,31,0,104,0
14-10,22,170,0,31,0,18,0,121,0
14-10,23,125,0,18,0,7,0,100,0
14-10,3,36,0,2,0,4,0,30,0
14-10,4,71,1,9,1,3,0,59,0
14-10,5,62,1,8,1,2,0,52,0
14-10,6,98,1,37,1,4,0,57,0
14-10,7,113,1,35,1,13,0,65,0
14-10,8,212,0,58,0,15,0,139,0
14-10,9,170,0,37,0,14,0,119,0
14-11,0,79,0,12,0,5,0,62,0
14-11,1,75,0,14,0,3,0,58,0
14-11,10,124,0,36,0,11,0,77,0
14-11,11,139,0,39,0,9,0,91,0
14-11,12,158,2,41,0,9,0,108,2
14-11,13,161,0,39,0,16,0,106,0
14-11,14,195,1,45,1,17,0,133,0
14-11,15,185,0,52,0,18,0,115,0
14-11,16,180,1,48,1,17,0,115,0
14-11,17,265,3,97,2,22,0,146,1
14-11,18,234,2,84,1,25,0,125,1
14-11,19,209,0,72,0,20,0,117,0
14-11,2,49,1,8,1,0,0,41,0
14-11,20,191,0,67,0,25,0,99,0
14-11,21,141,2,32,1,14,1,95,0
14-11,22,125,1,31,1,8,0,86,0
14-11,23,85,0,29,0,6,0,50,0
14-11,3,61,0,9,0,4,0,48,0
14-11,4,61,0,10,0,1,0,50,0
14-11,5,53,0,13,0,2,0,38,0
14-11,6,73,1,30,0,4,1,39,0
14-11,7,89,0,31,0,5,0,53,0
14-11,8,196,1,51,0,10,0,135,1
14-11,9,121,1,26,1,5,0,90,0
14-12,0,70,0,20,0,3,0,47,0
14-12,1,71,0,7,0,1,0,63,0
14-12,10,105,0,26,0,7,0,72,0
14-12,11,124,0,44,0,6,0,74,0
14-12,12,135,0,35,0,9,0,91,0
14-12,13,168,0,51,0,12,0,105,0
14-12,14,196,0,46,0,14,0,136,0
14-12,15,183,0,57,0,11,0,115,0
14-12,16,173,1,48,1,9,0,116,0
14-12,17,266,1,141,1,13,0,112,0
14-12,18,261,5,114,4,13,0,134,1
14-12,19,202,0,98,0,23,0,81,0
14-12,2,46,0,6,0,2,0,38,0
14-12,20,203,1,84,1,8,0,111,0
14-12,21,154,0,63,0,6,0,84,0
14-12,22,118,0,37,0,5,0,76,0
14-12,23,115,1,25,0,6,0,84,1
14-12,3,33,0,8,0,1,0,24,0
14-12,4,47,0,5,0,1,0,41,0
14-12,5,46,1,13,1,0,0,33,0
14-12,6,95,1,39,1,5,0,51,0
14-12,7,101,0,29,0,4,0,68,0
14-12,8,146,0,42,0,7,0,97,0
14-12,9,116,0,36,0,7,0,73,0
15-01,0,66,0,11,0,4,0,51,0
15-01,1,41,0,8,0,4,0,29,0
15-01,10,109,1,23,1,3,0,83,0
15-01,11,93,0,38,0,2,0,53,0
15-01,12,130,0,46,0,6,0,78,0
15-01,13,132,0,35,0,8,0,89,0
15-01,14,147,0,55,0,8,0,84,0
15-01,15,180,0,56,0,8,0,116,0
15-01,16,152,0,40,0,2,0,110,0
15-01,17,175,3,71,3,8,0,96,0
15-01,18,193,1,88,1,7,0,98,0
15-01,19,153,3,77,1,7,1,69,1
15-01,2,56,0,10,0,2,0,44,0
15-01,20,138,0,45,0,8,0,85,0
15-01,21,129,1,27,0,8,0,94,1
15-01,22,81,1,22,1,8,0,51,0
15-01,23,62,1,16,0,3,0,43,1
15-01,3,44,0,6,0,0,0,38,0
15-01,4,45,0,7,0,0,0,38,0
15-01,5,38,0,5,0,2,0,31,0
15-01,6,51,0,22,0,0,0,29,0
15-01,7,87,0,19,0,2,0,66,0
15-01,8,171,0,40,0,2,0,129,0
15-01,9,122,2,34,1,4,0,84,1
15-02,0,56,0,16,0,3,0,37,0
15-02,1,48,0,10,0,0,0,38,0
15-02,10,61,0,15,0,0,0,46,0
15-02,11,91,1,23,1,4,0,64,0
15-02,12,87,0,27,0,4,0,56,0
15-02,13,120,0,34,0,5,0,81,0
15-02,14,118,1,47,1,5,0,66,0
15-02,15,128,0,43,0,3,0,82,0
15-02,16,175,0,42,0,5,0,128,0
15-02,17,112,1,24,1,6,0,82,0
15-02,18,148,1,57,0,6,0,85,1
15-02,19,118,2,48,1,8,0,62,1
15-02,2,40,0,5,0,2,0,33,0
15-02,20,89,1,27,1,5,0,57,0
15-02,21,53,1,24,0,3,0,26,1
15-02,22,62,2,21,2,4,0,37,0
15-02,23,46,1,14,1,1,0,31,0
15-02,3,37,0,6,0,0,0,31,0
15-02,4,39,0,5,0,1,0,33,0
15-02,5,30,0,5,0,0,0,25,0
15-02,6,33,0,19,0,0,0,14,0
15-02,7,66,1,17,1,0,0,49,0
15-02,8,150,0,49,0,2,0,99,0
15-02,9,95,0,24,0,1,0,70,0
15-03,0,69,1,16,1,3,0,50,0
15-03,1,34,0,7,0,2,0,25,0
15-03,10,105,0,28,0,5,0,72,0
15-03,11,99,0,27,0,8,0,64,0
15-03,12,128,0,32,0,5,0,91,0
15-03,13,151,0,42,0,11,0,98,0
15-03,14,188,1,46,1,14,0,128,0
15-03,15,193,1,54,1,9,0,130,0
15-03,16,205,1,57,0,9,0,139,1
15-03,17,197,0,45,0,10,0,142,0
15-03,18,180,2,34,2,18,0,128,0
15-03,19,151,0,44,0,9,0,98,0
15-03,2,36,0,6,0,1,0,29,0
15-03,20,147,0,50,0,10,0,87,0
15-03,21,135,0,39,0,11,0,85,0
15-03,22,101,0,32,0,5,0,64,0
15-03,23,67,0,14,0,3,0,50,0
15-03,3,17,0,2,0,1,0,14,0
15-03,4,28,0,4,0,0,0,24,0
15-03,5,44,0,8,0,0,0,36,0
15-03,6,65,0,20,0,2,0,43,0
15-03,7,80,0,13,0,4,0,63,0
15-03,8,182,1,51,1,3,0,128,0
15-03,9,157,1,40,1,7,0,110,0
15-04,0,78,0,17,0,8,0,53,0
15-04,1,62,3,10,0,2,0,50,3
15-04,10,117,0,33,0,6,0,78,0
15-04,11,155,1,36,1,15,0,104,0
15-04,12,132,2,30,0,9,1,93,1
15-04,13,146,0,30,0,21,0,95,0
15-04,14,181,0,43,0,20,0,118,0
15-04,15,157,0,41,0,13,0,103,0
15-04,16,241,0,50,0,22,0,169,0
15-04,17,216,1,59,0,18,1,139,0
15-04,18,197,0,42,0,29,0,126,0
15-04,19,127,2,28,0,24,0,75,2
15-04,2,45,0,3,0,0,0,42,0
15-04,20,158,0,39,0,28,0,91,0
15-04,21,127,1,29,1,14,0,84,0
15-04,22,110,1,16,0,8,0,86,1
15-04,23,81,0,13,0,10,0,58,0
15-04,3,42,1,5,1,0,0,37,0
15-04,4,49,0,5,0,0,0,44,0
15-04,5,56,2,13,1,4,0,39,1
15-04,6,49,0,2,0,4,0,43,0
15-04,7,78,0,19,0,13,0,46,0
15-04,8,118,0,35,0,5,0,78,0
15-04,9,132,0,25,0,8,0,99,0
15-05,0,118,0,20,0,9,0,89,0
15-05,1,70,3,7,1,4,0,59,2
15-05,10,143,0,37,0,14,0,92,0
15-05,11,125,0,24,0,11,0,90,0
15-05,12,157,1,37,0,16,0,104,1
15-05,13,164,0,38,0,15,0,111,0
15-05,14,245,1,39,1,33,0,173,0
15-05,15,216,2,54,2,27,0,135,0
15-05,16,258,1,50,1,31,0,177,0
15-05,17,278,2,54,1,35,0,189,1
15-05,18,251,0,60,0,32,0,159,0
15-05,19,198,3,43,2,46,0,109,1
15-05,2,40,0,7,0,1,0,32,0
15-05,20,202,1,41,1,35,0,126,0
15-05,21,152,2,44,2,23,0,85,0
15-05,22,163,2,33,1,21,0,109,1
15-05,23,124,2,17,1,14,1,93,0
15-05,3,65,0,11,0,5,0,49,0
15-05,4,46,1,5,1,4,0,37,0
15-05,5,40,0,3,0,4,0,33,0
15-05,6,49,0,7,0,3,0,39,0
15-05,7,131,1,17,0,10,0,104,1
15-05,8,177,0,36,0,16,0,125,0
15-05,9,165,2,33,2,15,0,117,0
15-06,0,78,1,14,1,11,0,53,0
15-06,1,87,0,8,0,2,0,77,0
15-06,10,151,1,34,0,16,1,101,0
15-06,11,128,1,35,1,20,0,73,0
15-06,12,184,0,38,0,19,0,127,0
15-06,13,220,0,38,0,20,0,162,0
15-06,14,246,1,46,1,23,0,177,0
15-06,15,230,0,54,0,23,0,153,0
15-06,16,273,1,36,0,32,0,205,1
15-06,17,218,3,40,2,37,0,141,1
15-06,18,212,0,38,0,27,0,147,0
15-06,19,208,0,46,0,30,0,132,0
15-06,2,50,0,10,0,6,0,34,0
15-06,20,151,1,34,0,26,0,91,1
15-06,21,153,1,40,0,17,0,96,1
15-06,22,175,0,34,0,28,0,113,0
15-06,23,137,0,22,0,13,0,102,0
15-06,3,37,1,6,0,2,0,29,1
15-06,4,49,3,3,0,1,0,45,3
15-06,5,31,1,5,0,0,0,26,1
15-06,6,58,0,7,0,5,0,46,0
15-06,7,78,0,22,0,7,0,49,0
15-06,8,185,0,47,0,18,0,120,0
15-06,9,146,1,19,0,13,0,114,1
15-07,0,99,0,18,0,12,0,69,0
15-07,1,68,0,12,0,7,0,49,0
15-07,10,125,1,26,1,12,0,87,0
15-07,11,128,0,23,0,18,0,87,0
15-07,12,173,0,40,0,17,0,116,0
15-07,13,224,0,37,0,36,0,151,0
15-07,14,225,1,40,0,39,1,146,0
15-07,15,201,0,32,0,32,0,137,0
15-07,16,222,0,32,0,34,0,156,0
15-07,17,268,1,59,0,41,0,168,1
15-07,18,262,5,44,0,35,0,183,5
15-07,19,184,0,34,0,36,0,114,0
15-07,2,48,0,5,0,9,0,34,0
15-07,20,154,1,31,1,26,0,97,0
15-07,21,186,0,34,0,27,0,125,0
15-07,22,174,1,35,1,20,0,119,0
15-07,23,131,1,20,0,28,1,83,0
15-07,3,38,0,7,0,2,0,29,0
15-07,4,51,0,10,0,2,0,39,0
15-07,5,46,0,6,0,5,0,35,0
15-07,6,81,0,5,0,7,0,69,0
15-07,7,82,1,12,0,15,1,55,0
15-07,8,160,0,35,0,25,0,100,0
15-07,9,154,0,30,0,17,0,107,0
15-08,0,111,2,19,1,17,0,75,1
15-08,1,84,2,16,1,7,0,61,1
15-08,10,127,0,31,0,14,0,82,0
15-08,11,153,0,30,0,22,0,101,0
15-08,12,164,0,27,0,27,0,110,0
15-08,13,149,1,34,1,27,0,88,0
15-08,14,220,0,30,0,27,0,163,0
15-08,15,194,2,48,2,28,0,118,0
15-08,16,266,1,40,1,52,0,174,0
15-08,17,233,3,44,1,30,1,159,1
15-08,18,256,1,47,0,48,1,161,0
15-08,19,237,1,45,0,40,1,152,0
15-08,2,68,0,8,0,2,0,58,0
15-08,20,172,1,42,1,28,0,102,0
15-08,21,208,0,43,0,40,0,125,0
15-08,22,156,0,26,0,19,0,111,0
15-08,23,105,1,14,0,12,0,79,1
15-08,3,58,0,11,0,2,0,45,0
15-08,4,60,1,5,1,3,0,52,0
15-08,5,45,0,11,0,0,0,34,0
15-08,6,43,0,4,0,4,0,35,0
15-08,7,94,0,12,0,15,0,67,0
15-08,8,150,0,35,0,19,0,96,0
15-08,9,146,1,30,1,24,0,92,0
15-09,0,80,1,13,1,10,0,57,0
15-09,1,83,1,9,0,9,0,65,1
15-09,10,145,0,31,0,16,0,98,0
15-09,11,125,0,26,0,22,0,77,0
15-09,12,172,1,36,0,25,0,111,1
15-09,13,192,0,45,0,23,0,124,0
15-09,14,203,0,48,0,27,0,128,0
15-09,15,235,0,46,0,38,0,151,0
15-09,16,267,0,59,0,38,0,170,0
15-09,17,240,1,49,0,35,1,156,0
15-09,18,215,0,48,0,35,0,132,0
15-09,19,164,0,29,0,34,0,101,0
15-09,2,66,1,10,1,8,0,48,0
15-09,20,206,1,44,0,33,0,129,1
15-09,21,141,0,40,0,24,0,77,0
15-09,22,108,0,22,0,20,0,66,0
15-09,23,117,1,23,0,14,1,80,0
15-09,3,48,0,2,0,0,0,46,0
15-09,4,45,0,8,0,2,0,35,0
15-09,5,48,0,11,0,2,0,35,0
15-09,6,64,0,13,0,4,0,47,0
15-09,7,75,0,14,0,15,0,46,0
15-09,8,162,0,34,0,15,0,113,0
15-09,9,162,2,33,1,20,0,109,1
15-10,0,85,0,17,0,11,0,57,0
15-10,1,42,1,8,1,1,0,33,0
15-10,10,151,1,45,1,8,0,98,0
15-10,11,189,0,49,0,20,0,120,0
15-10,12,152,1,40,1,19,0,93,0
15-10,13,196,2,52,1,22,0,122,1
15-10,14,181,0,57,0,19,0,105,0
15-10,15,237,0,78,0,20,0,139,0
15-10,16,250,1,61,0,31,0,158,1
15-10,17,253,1,66,1,35,0,152,0
15-10,18,239,1,59,0,26,0,154,1
15-10,19,231,2,82,2,28,0,121,0
15-10,2,56,0,14,0,4,0,38,0
15-10,20,217,0,56,0,32,0,129,0
15-10,21,165,1,34,1,21,0,110,0
15-10,22,123,0,37,0,15,0,71,0
15-10,23,110,2,25,2,13,0,72,0
15-10,3,29,1,5,0,0,0,24,1
15-10,4,42,0,3,0,3,0,36,0
15-10,5,33,1,13,0,1,0,19,1
15-10,6,53,0,18,0,5,0,30,0
15-10,7,105,0,33,0,12,0,60,0
15-10,8,226,2,54,0,14,2,158,0
15-10,9,188,1,43,1,14,0,131,0
15-11,0,78,1,11,1,5,0,62,0
15-11,1,50,0,4,0,5,0,41,0
15-11,10,115,2,36,2,15,0,64,0
15-11,11,151,2,39,1,12,0,100,1
15-11,12,152,0,48,0,13,0,91,0
15-11,13,158,1,38,1,27,0,93,0
15-11,14,191,0,48,0,22,0,121,0
15-11,15,185,0,52,0,15,0,118,0
15-11,16,201,2,54,2,17,0,130,0
15-11,17,301,1,109,1,41,0,151,0
15-11,18,268,0,102,0,26,0,140,0
15-11,19,189,3,71,3,23,0,95,0
15-11,2,53,0,6,0,2,0,45,0
15-11,20,160,0,48,0,18,0,94,0
15-11,21,127,2,26,2,11,0,90,0
15-11,22,133,1,29,1,12,0,92,0
15-11,23,81,0,14,0,5,0,62,0
15-11,3,48,0,10,0,0,0,38,0
15-11,4,47,0,10,0,2,0,35,0
15-11,5,47,1,9,0,2,0,36,1
15-11,6,76,1,19,1,4,0,53,0
15-11,7,118,0,28,0,11,0,79,0
15-11,8,176,2,55,2,16,0,105,0
15-11,9,146,0,26,0,16,0,104,0
15-12,0,98,0,14,0,2,0,82,0
15-12,1,46,0,10,0,3,0,33,0
15-12,10,150,0,37,0,8,0,105,0
15-12,11,138,1,35,1,11,0,92,0
15-12,12,136,0,31,0,14,0,91,0
15-12,13,176,1,52,1,12,0,112,0
15-12,14,217,1,54,1,22,0,141,0
15-12,15,191,1,51,1,11,0,129,0
15-12,16,229,1,65,1,25,0,139,0
15-12,17,313,2,126,2,23,0,164,0
15-12,18,240,1,96,0,16,0,128,1
15-12,19,236,0,90,0,24,0,122,0
15-12,2,35,0,3,0,2,0,30,0
15-12,20,223,0,57,0,26,0,140,0
15-12,21,138,0,38,0,13,0,87,0
15-12,22,129,3,37,2,12,0,80,1
15-12,23,131,1,22,1,13,0,96,0
15-12,3,37,1,3,0,3,0,31,1
15-12,4,49,0,4,0,2,0,43,0
15-12,5,49,2,12,1,1,0,36,1
15-12,6,77,0,33,0,4,0,40,0
15-12,7,84,0,33,0,4,0,47,0
15-12,8,155,0,42,0,6,0,107,0
15-12,9,121,1,37,1,7,0,77,0
16-01,0,79,0,19,0,3,0,58,0
16-01,1,47,0,7,0,3,0,37,0
16-01,10,123,0,36,0,5,0,82,0
16-01,11,120,1,34,0,8,0,78,1
16-01,12,109,0,30,0,7,0,72,0
16-01,13,179,2,42,2,14,0,123,0
16-01,14,154,0,48,0,12,0,94,0
16-01,15,172,0,62,0,7,0,103,0
16-01,16,170,0,46,0,10,0,114,0
16-01,17,211,2,65,1,13,1,135,0
16-01,18,228,1,93,1,16,0,120,0
16-01,19,142,0,57,0,8,0,79,0
16-01,2,44,0,15,0,0,0,29,0
16-01,20,137,0,44,0,19,0,75,0
16-01,21,107,0,28,0,6,0,73,0
16-01,22,79,0,20,0,5,0,54,0
16-01,23,72,1,13,1,3,0,56,0
16-01,3,43,0,7,0,1,0,35,0
16-01,4,45,2,10,1,1,0,34,1
16-01,5,58,1,7,0,1,0,50,1
16-01,6,68,0,22,0,0,0,46,0
16-01,7,85,0,29,0,3,0,53,0
16-01,8,155,0,49,0,3,0,103,0
16-01,9,105,2,35,1,4,1,66,0
16-02,0,79,1,20,1,3,0,56,0
16-02,1,43,0,8,0,1,0,34,0
16-02,10,97,2,36,2,4,0,57,0
16-02,11,117,0,40,0,7,0,70,0
16-02,12,115,1,31,0,7,0,77,1
16-02,13,138,0,39,0,10,0,89,0
16-02,14,190,0,62,0,11,0,117,0
16-02,15,148,0,48,0,9,0,91,0
16-02,16,153,0,48,0,12,0,93,0
16-02,17,165,1,53,0,10,1,102,0
16-02,18,177,2,81,1,15,1,81,0
16-02,19,197,0,79,0,17,0,101,0
16-02,2,36,0,14,0,0,0,22,0
16-02,20,137,1,59,1,12,0,66,0
16-02,21,86,0,32,0,7,0,47,0
16-02,22,97,0,26,0,6,0,65,0
16-02,23,88,1,18,1,3,0,67,0
16-02,3,36,0,3,0,1,0,32,0
16-02,4,22,3,4,2,0,0,18,1
16-02,5,45,0,14,0,0,0,31,0
16-02,6,66,1,19,1,4,0,43,0
16-02,7,88,0,28,0,2,0,58,0
16-02,8,168,1,56,1,3,0,109,0
16-02,9,135,0,35,0,4,0,96,0
16-03,0,60,0,15,0,8,0,33,0
16-03,1,55,0,10,0,2,0,39,0
16-03,10,130,0,31,0,7,0,90,0
16-03,11,167,0,35,0,14,0,100,0
16-03,12,154,0,26,0,14,0,104,0
16-03,13,172,0,39,0,13,0,110,0
16-03,14,195,0,41,0,22,0,114,0
16-03,15,219,0,44,0,16,0,155,0
16-03,16,226,0,55,0,21,0,134,0
16-03,17,234,1,46,1,21,0,147,0
16-03,18,200,0,48,0,17,0,122,0
16-03,19,216,1,50,1,17,0,136,0
16-03,2,54,1,6,0,0,0,48,1
16-03,20,214,0,62,0,18,0,115,0
16-03,21,145,2,32,1,23,0,88,1
16-03,22,121,0,26,0,8,0,73,0
16-03,23,94,0,19,0,9,0,53,0
16-03,3,45,1,6,1,1,0,29,0
16-03,4,45,1,13,1,3,0,29,0
16-03,5,57,0,8,0,3,0,46,0
16-03,6,76,0,17,0,3,0,54,0
16-03,7,131,0,35,0,6,0,85,0
16-03,8,194,1,52,1,17,0,116,0
16-03,9,161,0,48,0,13,0,99,0
16-04,0,110,0,24,0,5,0,69,0
16-04,1,78,0,4,0,8,0,54,0
16-04,10,165,0,35,0,14,0,113,0
16-04,11,184,0,32,0,9,0,129,0
16-04,12,194,0,47,0,21,0,111,0
16-04,13,182,0,36,0,19,0,126,0
16-04,14,240,0,63,0,23,0,141,0
16-04,15,229,0,39,0,25,0,155,0
16-04,16,245,0,48,0,20,0,163,0
16-04,17,292,0,66,0,23,0,188,0
16-04,18,211,1,61,1,19,0,121,0
16-04,19,162,0,35,0,18,0,101,0
16-04,2,45,0,8,0,1,0,36,0
16-04,20,200,0,45,0,21,0,125,0
16-04,21,149,1,31,1,17,0,90,0
16-04,22,155,0,30,0,15,0,106,0
16-04,23,145,0,16,0,17,0,104,0
16-04,3,51,0,5,0,4,0,37,0
16-04,4,63,0,8,0,3,0,53,0
16-04,5,47,0,9,0,2,0,32,0
16-04,6,71,1,10,0,2,0,57,1
16-04,7,154,1,29,0,6,1,104,0
16-04,8,191,2,45,1,13,1,127,0
16-04,9,132,2,28,1,8,0,88,0
16-05,0,151,0,20,0,10,0,121,0
16-05,1,47,0,8,0,3,0,36,0
16-05,10,160,2,32,1,13,0,116,1
16-05,11,134,2,21,0,13,0,100,2
16-05,12,171,1,40,1,13,0,117,0
16-05,13,194,2,27,1,19,0,147,1
16-05,14,219,1,45,0,17,0,157,1
16-05,15,239,0,53,0,13,0,173,0
16-05,16,257,0,43,0,19,0,195,0
16-05,17,230,1,45,0,30,1,155,0
16-05,18,269,0,44,0,41,0,184,0
16-05,19,188,0,42,0,31,0,115,0
