ym,hour,total_injured,total_killed,pedestrians_injured,pedestrians_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed
16-05,2,62,2,11,2,2,0,49,0
16-05,20,174,0,38,0,25,0,111,0
16-05,21,182,1,37,0,18,1,127,0
16-05,22,161,0,29,0,13,0,120,0
16-05,23,131,0,21,0,13,0,97,0
16-05,3,40,0,11,0,2,0,27,0
16-05,4,75,0,11,0,1,0,62,0
16-05,5,53,0,8,0,2,0,43,0
16-05,6,96,0,9,0,6,0,81,0
16-05,7,90,0,24,0,10,0,57,0
16-05,8,177,1,33,1,14,0,130,0
16-05,9,153,1,32,1,11,0,110,0
16-06,0,112,0,14,0,13,0,85,0
16-06,1,51,0,8,0,3,0,40,0
16-06,10,130,0,19,0,13,0,98,0
16-06,11,139,1,30,1,13,0,94,0
16-06,12,164,0,45,0,17,0,101,0
16-06,13,162,0,29,0,12,0,118,0
16-06,14,223,0,35,0,12,0,177,0
16-06,15,178,0,35,0,18,0,124,0
16-06,16,191,1,37,1,18,0,135,0
16-06,17,223,1,38,1,30,0,155,0
16-06,18,233,0,40,0,39,0,152,0
16-06,19,183,2,17,0,34,1,133,1
16-06,2,40,0,4,0,1,0,35,0
16-06,20,117,1,29,1,18,0,70,0
16-06,21,108,1,31,1,16,0,62,0
16-06,22,118,1,20,1,20,0,78,0
16-06,23,86,0,19,0,10,0,58,0
16-06,3,44,1,5,1,4,0,34,0
16-06,4,50,1,9,0,0,0,42,1
16-06,5,43,0,3,0,0,0,40,0
16-06,6,47,1,6,0,4,1,37,0
16-06,7,95,0,22,0,8,0,65,0
16-06,8,163,0,31,0,19,0,114,0
16-06,9,131,0,19,0,17,0,95,0
16-07,0,149,1,26,0,15,1,88,0
16-07,1,99,0,9,0,10,0,71,0
16-07,10,127,0,20,0,14,0,86,0
16-07,11,141,1,27,1,13,0,96,0
16-07,12,166,0,26,0,21,0,115,0
16-07,13,174,1,26,0,15,0,130,1
16-07,14,207,0,30,0,20,0,150,0
16-07,15,202,0,37,0,22,0,130,0
16-07,16,238,0,33,0,26,0,165,0
16-07,17,258,1,39,0,27,0,184,1
16-07,18,228,0,38,0,39,0,146,0
16-07,19,159,0,26,0,20,0,99,0
16-07,2,66,1,8,1,3,0,49,0
16-07,20,184,0,30,0,25,0,121,0
16-07,21,139,0,25,0,27,0,81,0
16-07,22,170,0,28,0,17,0,112,0
16-07,23,102,0,14,0,12,0,70,0
16-07,3,45,0,6,0,4,0,35,0
16-07,4,50,0,3,0,1,0,44,0
16-07,5,60,0,2,0,2,0,50,0
16-07,6,87,0,12,0,5,0,66,0
16-07,7,72,0,17,0,7,0,42,0
16-07,8,96,1,23,0,7,1,62,0
16-07,9,108,0,31,0,13,0,65,0
16-08,0,150,2,33,2,25,0,103,0
16-08,1,59,0,12,0,5,0,43,0
16-08,10,125,1,41,1,11,0,81,0
16-08,11,149,1,22,1,27,0,106,0
16-08,12,160,0,28,0,24,0,114,0
16-08,13,198,1,29,1,27,0,156,0
16-08,14,194,1,40,1,31,0,137,0
16-08,15,210,1,37,1,27,0,154,0
16-08,16,219,0,42,0,33,0,159,0
16-08,17,219,1,40,1,40,0,146,0
16-08,18,224,0,45,0,41,0,145,0
16-08,19,162,0,40,0,29,0,105,0
16-08,2,59,0,8,0,5,0,47,0
16-08,20,162,0,41,0,35,0,97,0
16-08,21,167,1,38,1,31,0,107,0
16-08,22,132,0,19,0,19,0,100,0
16-08,23,119,1,13,0,12,1,98,0
16-08,3,32,0,3,0,2,0,27,0
16-08,4,36,0,2,0,2,0,37,0
16-08,5,47,0,6,0,2,0,39,0
16-08,6,39,0,6,0,2,0,35,0
16-08,7,72,1,13,1,5,0,58,0
16-08,8,145,0,36,0,21,0,102,0
16-08,9,129,1,45,1,18,0,79,0
16-09,0,136,0,27,0,24,0,97,0
16-09,1,61,0,10,0,2,0,53,0
16-09,10,133,1,24,1,16,0,102,0
16-09,11,120,1,22,1,21,0,82,0
16-09,12,140,1,20,1,18,0,106,0
16-09,13,146,0,30,0,22,0,103,0
16-09,14,215,0,56,0,22,0,149,0
16-09,15,206,0,38,0,28,0,150,0
16-09,16,236,0,53,0,32,0,164,0
16-09,17,209,0,38,0,28,0,156,0
16-09,18,241,0,49,0,32,0,170,0
16-09,19,178,2,43,2,40,0,108,0
16-09,2,34,0,4,0,3,0,27,0
16-09,20,174,1,54,1,32,0,105,0
16-09,21,161,0,29,0,33,0,104,0
16-09,22,116,0,26,0,12,0,86,0
16-09,23,97,0,8,0,13,0,81,0
16-09,3,41,0,6,0,2,0,34,0
16-09,4,46,1,5,0,4,0,42,1
16-09,5,47,0,6,0,7,0,38,0
16-09,6,61,3,12,3,13,0,46,0
16-09,7,116,0,27,0,11,0,83,0
16-09,8,198,0,49,0,16,0,147,0
16-09,9,149,0,33,0,23,0,105,0
16-10,0,110,0,33,0,8,0,76,0
16-10,1,51,0,11,0,9,0,37,0
16-10,10,97,2,25,1,6,0,70,1
16-10,11,129,0,35,0,12,0,86,0
16-10,12,156,1,30,1,17,0,119,0
16-10,13,173,0,40,0,20,0,119,0
16-10,14,188,1,44,1,22,0,133,0
16-10,15,173,0,43,0,22,0,116,0
16-10,16,229,2,54,2,33,0,149,0
16-10,17,215,1,54,1,32,0,139,0
16-10,18,179,0,61,0,22,0,107,0
16-10,19,198,0,82,0,21,0,107,0
16-10,2,44,0,12,0,5,0,30,0
16-10,20,163,0,47,0,26,0,96,0
16-10,21,151,2,44,1,22,0,90,1
16-10,22,114,0,32,0,15,0,73,0
16-10,23,89,0,12,0,14,0,67,0
16-10,3,39,0,6,0,2,0,33,0
16-10,4,38,0,10,0,3,0,25,0
16-10,5,47,0,14,0,2,0,35,0
16-10,6,74,0,25,0,1,0,49,0
16-10,7,85,0,25,0,14,0,54,0
16-10,8,146,0,52,0,15,0,92,0
16-10,9,149,1,38,1,13,0,105,0
16-11,0,106,0,28,0,8,0,72,0
16-11,1,56,0,12,0,1,0,49,0
16-11,10,129,2,41,2,10,0,83,0
16-11,11,154,0,33,0,8,0,117,0
16-11,12,143,1,46,1,17,0,88,0
16-11,13,158,0,37,0,23,0,101,0
16-11,14,177,0,57,0,17,0,109,0
16-11,15,154,1,44,0,9,0,110,1
16-11,16,169,1,48,1,17,0,110,0
16-11,17,231,2,83,2,17,0,143,0
16-11,18,212,0,73,0,39,0,111,0
16-11,19,211,0,65,0,26,0,131,0
16-11,2,44,0,8,0,4,0,32,0
16-11,20,203,0,51,0,21,0,139,0
16-11,21,104,0,27,0,12,0,68,0
16-11,22,124,1,32,1,6,0,89,0
16-11,23,97,0,24,0,5,0,75,0
16-11,3,34,0,4,0,3,0,28,0
16-11,4,60,0,16,0,2,0,46,0
16-11,5,43,0,10,0,3,0,31,0
16-11,6,79,0,25,0,4,0,54,0
16-11,7,120,0,28,0,8,0,88,0
16-11,8,175,0,59,0,8,0,118,0
16-11,9,107,0,39,0,6,0,65,0
16-12,0,102,0,19,0,5,0,83,0
16-12,1,54,0,7,0,1,0,47,0
16-12,10,101,0,20,0,6,0,77,0
16-12,11,140,2,34,2,7,0,107,0
16-12,12,150,2,37,1,9,0,112,1
16-12,13,165,0,53,0,12,0,110,0
16-12,14,155,0,46,0,7,0,109,0
16-12,15,159,0,33,0,13,0,117,0
16-12,16,167,1,43,1,11,0,123,0
16-12,17,210,0,79,0,11,0,135,0
16-12,18,225,0,99,0,22,0,120,0
16-12,19,210,1,77,1,15,0,128,0
16-12,2,38,1,13,0,0,0,28,1
16-12,20,156,1,48,1,16,0,99,0
16-12,21,109,0,20,0,5,0,87,0
16-12,22,96,1,19,1,6,0,73,0
16-12,23,95,0,19,0,5,0,75,0
16-12,3,37,0,5,0,0,0,33,0
16-12,4,57,1,4,1,2,0,52,0
16-12,5,47,0,14,0,1,0,34,0
16-12,6,80,1,35,0,5,1,42,0
16-12,7,81,0,29,0,7,0,51,0
16-12,8,146,1,36,0,4,0,113,1
16-12,9,111,0,31,0,6,0,79,0
17-01,0,85,0,33,0,10,0,63,0
17-01,1,35,0,11,0,0,0,33,0
17-01,10,80,1,25,1,14,0,65,0
17-01,11,91,0,26,0,9,0,80,0
17-01,12,114,0,47,0,13,0,89,0
17-01,13,178,0,58,0,18,0,143,0
17-01,14,162,0,41,0,11,0,152,0
17-01,15,173,0,44,0,8,0,152,0
17-01,16,167,0,66,0,13,0,135,0
17-01,17,192,2,133,2,16,0,105,0
17-01,18,246,0,175,0,31,0,120,0
17-01,19,183,1,106,1,25,0,121,0
17-01,2,40,1,7,1,1,0,45,0
17-01,20,124,1,71,1,19,0,70,0
17-01,21,103,1,41,1,8,0,76,0
17-01,22,81,0,43,0,5,0,66,0
17-01,23,98,1,38,1,3,0,87,0
17-01,3,35,1,4,0,0,0,39,1
17-01,4,56,0,5,0,3,0,59,0
17-01,5,41,1,9,1,2,0,38,0
17-01,6,64,1,32,1,3,0,51,0
17-01,7,83,0,34,0,2,0,72,0
17-01,8,153,0,47,0,8,0,132,0
17-01,9,107,0,42,0,5,0,91,0
17-02,0,86,0,19,0,2,0,67,0
17-02,1,40,0,13,0,1,0,27,0
17-02,10,96,0,19,0,4,0,76,0
17-02,11,121,0,34,0,11,0,79,0
17-02,12,129,1,28,1,7,0,96,0
17-02,13,105,0,22,0,7,0,76,0
17-02,14,157,0,41,0,5,0,113,0
17-02,15,129,1,40,0,12,0,80,1
17-02,16,152,2,39,2,7,0,109,0
17-02,17,118,0,37,0,12,0,73,0
17-02,18,152,0,65,0,13,0,77,0
17-02,19,165,0,56,0,16,0,94,0
17-02,2,21,0,2,0,2,0,17,0
17-02,20,128,0,35,0,13,0,80,0
17-02,21,83,0,23,0,8,0,56,0
17-02,22,113,0,19,0,11,0,84,0
17-02,23,71,0,17,0,3,0,46,0
17-02,3,36,0,5,0,1,0,30,0
17-02,4,29,1,5,0,1,0,23,1
17-02,5,40,1,4,1,1,0,35,0
17-02,6,63,0,12,0,5,0,47,0
17-02,7,71,0,19,0,2,0,53,0
17-02,8,139,0,45,0,8,0,90,0
17-02,9,117,0,27,0,6,0,88,0
17-03,0,97,0,25,0,11,0,61,0
17-03,1,34,0,9,0,1,0,24,0
17-03,10,106,0,27,0,10,0,69,0
17-03,11,123,0,31,0,12,0,81,0
17-03,12,137,0,48,0,11,0,79,0
17-03,13,137,0,40,0,8,0,90,0
17-03,14,165,0,39,0,12,0,114,0
17-03,15,145,1,42,1,3,0,100,0
17-03,16,211,1,42,0,14,0,155,1
17-03,17,183,1,51,0,14,1,118,0
17-03,18,164,1,50,1,11,0,103,0
17-03,19,119,1,40,1,14,0,66,0
17-03,2,20,0,2,0,3,0,15,0
17-03,20,157,1,43,1,9,0,105,0
17-03,21,126,0,41,0,4,0,81,0
17-03,22,128,1,28,1,8,0,92,0
17-03,23,82,0,15,0,2,0,65,0
17-03,3,32,0,1,0,2,0,29,0
17-03,4,53,1,7,0,0,0,46,1
17-03,5,35,0,11,0,0,0,24,0
17-03,6,39,0,18,0,1,0,20,0
17-03,7,66,0,15,0,1,0,50,0
17-03,8,207,0,76,0,8,0,123,0
17-03,9,131,1,36,1,6,0,89,0
17-04,0,94,0,23,0,11,0,60,0
17-04,1,40,0,5,0,4,0,31,0
17-04,10,111,1,24,0,6,0,81,1
17-04,11,98,0,27,0,8,0,63,0
17-04,12,116,0,26,0,13,0,78,0
17-04,13,145,0,28,0,16,0,103,0
17-04,14,181,1,43,0,26,0,113,1
17-04,15,214,2,43,1,20,0,151,1
17-04,16,193,0,54,0,18,0,122,0
17-04,17,156,0,41,0,15,0,99,0
17-04,18,180,0,34,0,22,0,124,0
17-04,19,122,2,21,1,12,0,89,1
17-04,2,35,1,1,0,2,0,32,1
17-04,20,140,1,38,0,20,0,82,1
17-04,21,102,2,23,2,11,0,68,0
17-04,22,124,0,13,0,12,0,99,0
17-04,23,99,1,11,0,4,1,84,0
17-04,3,33,1,2,0,3,0,28,1
17-04,4,47,0,5,0,1,0,41,0
17-04,5,34,0,3,0,3,0,28,0
17-04,6,56,0,14,0,5,0,37,0
17-04,7,84,1,12,0,3,1,69,0
17-04,8,116,0,25,0,6,0,85,0
17-04,9,102,0,24,0,3,0,76,0
17-05,0,112,0,20,0,10,0,82,0
17-05,1,50,0,5,0,5,0,40,0
17-05,10,123,0,23,0,12,0,88,0
17-05,11,155,1,64,1,7,0,85,0
17-05,12,168,1,39,1,14,0,116,0
17-05,13,161,0,39,0,16,0,103,0
17-05,14,192,0,60,0,23,0,109,0
17-05,15,198,0,56,0,22,0,120,0
17-05,16,238,0,43,0,25,0,171,0
17-05,17,274,0,50,0,35,0,189,0
17-05,18,236,2,47,1,29,1,160,0
17-05,19,174,0,28,0,30,0,116,0
17-05,2,44,0,9,0,6,0,29,0
17-05,20,140,0,27,0,14,0,99,0
17-05,21,132,0,35,0,13,0,84,0
17-05,22,152,0,23,0,11,0,118,0
17-05,23,152,1,19,1,18,0,115,0
17-05,3,33,0,3,0,1,0,29,0
17-05,4,59,0,6,0,2,0,51,0
17-05,5,42,0,8,0,0,0,34,0
17-05,6,66,0,13,0,4,0,49,0
17-05,7,113,0,29,0,9,0,75,0
17-05,8,154,0,35,0,13,0,106,0
17-05,9,137,0,32,0,17,0,88,0
17-06,0,153,3,20,0,21,1,112,2
17-06,1,48,0,8,0,4,0,36,0
17-06,10,122,0,20,0,15,0,87,0
17-06,11,123,0,30,0,20,0,74,0
17-06,12,187,0,42,0,22,0,123,0
17-06,13,197,2,55,1,21,1,121,0
17-06,14,219,0,31,0,29,0,159,0
17-06,15,228,0,43,0,17,0,168,0
17-06,16,221,1,43,0,28,0,149,1
17-06,17,263,0,38,0,42,0,184,0
17-06,18,220,1,47,1,38,0,135,0
17-06,19,218,0,33,0,25,0,160,0
17-06,2,44,1,5,1,1,0,38,0
17-06,20,165,1,27,0,22,0,116,1
17-06,21,153,0,29,0,25,0,99,0
17-06,22,143,1,22,1,14,0,107,0
17-06,23,117,0,12,0,13,0,92,0
17-06,3,35,2,3,1,3,1,29,0
17-06,4,43,0,7,0,3,0,33,0
17-06,5,35,1,3,0,2,0,30,1
17-06,6,81,0,6,0,5,0,70,0
17-06,7,83,0,18,0,13,0,52,0
17-06,8,166,0,49,0,11,0,107,0
17-06,9,174,0,25,0,21,0,128,0
17-07,0,118,1,26,0,17,1,75,0
17-07,1,71,0,12,0,5,0,54,0
17-07,10,142,1,21,1,18,0,103,0
17-07,11,154,0,26,0,19,0,110,0
17-07,12,159,1,24,0,22,0,113,1
17-07,13,168,0,31,0,19,0,121,0
17-07,14,182,2,37,2,28,0,117,0
17-07,15,216,3,32,2,28,0,156,1
17-07,16,214,0,34,0,32,0,148,0
17-07,17,203,2,32,1,28,1,143,0
17-07,18,248,0,33,0,38,0,177,0
17-07,19,173,0,31,0,26,0,116,0
17-07,2,54,1,2,0,7,0,45,1
17-07,20,142,0,23,0,24,0,95,0
17-07,21,210,3,37,2,25,0,148,1
17-07,22,132,0,24,0,15,0,93,0
17-07,23,124,0,18,0,17,0,89,0
17-07,3,37,0,5,0,1,0,31,0
17-07,4,37,1,9,1,4,0,24,0
17-07,5,39,0,4,0,1,0,34,0
17-07,6,34,0,7,0,3,0,25,0
17-07,7,79,0,10,0,8,0,61,0
17-07,8,123,0,22,0,16,0,85,0
17-07,9,129,0,24,0,24,0,81,0
17-08,0,119,1,13,1,12,0,94,0
17-08,1,67,0,10,0,5,0,52,0
17-08,10,96,1,23,0,10,0,63,1
17-08,11,148,0,29,0,16,0,103,0
17-08,12,128,1,25,1,13,0,90,0
17-08,13,165,1,23,0,18,0,126,1
17-08,14,192,1,26,0,14,0,152,2
17-08,15,187,0,27,0,19,0,141,0
17-08,16,207,0,33,0,28,0,146,0
17-08,17,203,0,33,0,32,0,138,0
17-08,18,222,0,32,0,27,0,164,0
17-08,19,142,0,34,0,28,0,80,0
17-08,2,21,1,3,0,4,0,14,1
17-08,20,163,1,39,0,25,0,99,1
17-08,21,147,0,34,0,20,0,93,0
17-08,22,136,2,18,1,19,1,99,0
17-08,23,107,1,17,1,14,0,76,0
17-08,3,27,0,3,0,2,0,22,0
17-08,4,32,1,6,1,1,0,25,0
17-08,5,32,1,4,1,1,0,27,0
17-08,6,54,1,5,0,3,0,46,1
17-08,7,69,1,17,0,8,1,44,0
17-08,8,114,0,25,0,11,0,78,0
17-08,9,107,0,28,0,18,0,61,0
17-09,0,104,0,21,0,8,0,75,0
17-09,1,36,0,7,0,8,0,21,0
17-09,10,152,0,31,0,18,0,103,0
17-09,11,141,0,27,0,25,0,89,0
17-09,12,123,0,27,0,13,0,84,0
17-09,13,177,0,43,0,22,0,113,0
17-09,14,169,1,36,1,25,0,108,0
17-09,15,199,0,49,0,28,0,122,0
17-09,16,203,0,50,0,19,0,135,0
17-09,17,213,1,48,0,33,1,133,0
17-09,18,155,1,38,0,24,1,93,0
17-09,19,122,1,29,1,13,0,81,0
17-09,2,35,0,11,0,5,0,19,0
17-09,20,143,0,30,0,25,0,88,0
17-09,21,136,0,22,0,21,0,94,0
17-09,22,107,0,19,0,16,0,72,0
17-09,23,105,1,17,0,13,0,75,1
17-09,3,28,1,4,1,2,0,22,0
17-09,4,48,0,3,0,4,0,41,0
17-09,5,52,0,8,0,4,0,40,0
17-09,6,71,3,13,2,4,0,54,1
17-09,7,85,1,22,0,14,1,50,0
17-09,8,173,0,49,0,11,0,113,0
17-09,9,130,1,26,0,18,1,86,0
17-10,0,89,0,19,0,7,0,63,0
17-10,1,34,0,7,0,4,0,23,0
17-10,10,112,0,28,0,14,0,71,0
17-10,11,93,0,32,0,5,0,56,0
17-10,12,138,3,29,3,26,0,83,0
17-10,13,137,0,33,0,21,0,83,0
17-10,14,151,0,42,0,18,0,93,0
17-10,15,169,8,57,8,20,2,93,0
17-10,16,201,2,51,1,21,0,129,1
17-10,17,180,0,52,0,22,0,106,0
17-10,18,157,0,32,0,23,0,102,0
17-10,19,234,1,50,0,26,0,161,1
17-10,2,37,0,2,0,0,0,35,0
17-10,20,188,0,43,0,24,0,121,0
17-10,21,110,0,28,0,9,0,73,0
17-10,22,146,1,22,0,20,1,106,0
17-10,23,77,1,16,1,8,0,53,0
17-10,3,41,0,5,0,1,0,35,0
17-10,4,51,0,9,0,0,0,42,0
17-10,5,28,0,7,0,3,0,18,0
17-10,6,69,2,27,1,8,0,34,1
17-10,7,113,0,32,0,5,0,76,0
17-10,8,215,0,59,0,17,0,139,0
17-10,9,145,0,46,0,7,0,92,0
17-11,0,106,1,29,1,5,0,72,0
17-11,1,53,1,4,1,1,0,48,0
17-11,10,110,0,22,0,6,0,82,0
17-11,11,103,0,28,0,12,0,63,0
17-11,12,105,0,20,0,15,0,70,0
17-11,13,135,1,28,0,13,1,94,0
17-11,14,171,1,41,0,21,1,109,0
17-11,15,187,0,45,0,15,0,127,0
17-11,16,183,0,45,0,12,0,126,0
17-11,17,275,2,89,0,27,1,159,2
17-11,18,226,1,80,0,18,0,128,1
17-11,19,161,0,51,0,18,0,93,0
17-11,2,26,0,4,0,1,0,21,0
17-11,20,138,0,41,0,15,0,82,0
17-11,21,128,0,26,0,15,0,87,0
17-11,22,117,1,21,0,7,0,89,1
17-11,23,80,0,12,0,4,0,64,0
17-11,3,20,1,3,1,1,0,16,0
17-11,4,43,0,6,0,2,0,35,0
17-11,5,37,0,5,0,1,0,31,0
17-11,6,67,1,19,1,6,0,42,0
17-11,7,123,1,32,0,8,0,84,1
17-11,8,165,0,38,0,10,0,117,0
17-11,9,165,0,29,0,11,0,125,0
17-12,0,109,0,16,0,6,0,87,0
17-12,1,46,0,10,0,3,0,33,0
17-12,10,96,0,28,0,6,0,62,0
17-12,11,134,0,38,0,1,0,95,0
17-12,12,131,0,37,0,9,0,85,0
17-12,13,152,0,36,0,7,0,109,0
17-12,14,181,1,47,0,6,0,128,1
17-12,15,174,0,46,0,11,0,117,0
17-12,16,179,0,46,0,13,0,120,0
17-12,17,240,0,85,0,16,0,139,0
17-12,18,195,1,81,1,21,0,93,0
17-12,19,196,1,48,1,10,0,138,0
17-12,2,44,0,6,0,2,0,36,0
17-12,20,123,0,31,0,11,0,81,0
17-12,21,142,1,40,1,8,0,94,0
17-12,22,131,1,18,1,10,0,103,0
17-12,23,94,0,20,0,1,0,73,0
17-12,3,39,0,4,0,1,0,34,0
17-12,4,48,1,13,1,2,0,33,0
17-12,5,45,0,7,0,3,0,35,0
17-12,6,67,2,21,2,5,0,41,0
17-12,7,87,1,25,0,3,1,59,0
17-12,8,145,0,26,0,3,0,116,0
17-12,9,128,0,38,0,6,0,84,0
18-01,0,93,0,18,0,7,0,68,0
18-01,1,32,0,7,0,2,0,23,0
18-01,10,112,0,36,0,3,0,73,0
18-01,11,107,0,37,0,2,0,68,0
18-01,12,102,0,25,0,5,0,72,0
18-01,13,105,1,37,1,7,0,61,0
18-01,14,172,0,52,0,8,0,112,0
18-01,15,198,0,56,0,12,0,130,0
18-01,16,174,2,47,0,5,0,122,2
18-01,17,183,1,73,0,15,1,95,0
18-01,18,194,1,67,1,12,0,115,0
18-01,19,148,0,42,0,12,0,94,0
18-01,2,31,0,6,0,2,0,23,0
18-01,20,130,0,36,0,10,0,84,0
18-01,21,116,0,22,0,7,0,87,0
18-01,22,94,1,23,1,10,0,61,0
18-01,23,80,0,14,0,4,0,62,0
18-01,3,35,0,3,0,1,0,31,0
18-01,4,32,0,7,0,1,0,24,0
18-01,5,41,0,13,0,0,0,28,0
18-01,6,69,0,27,0,2,0,40,0
18-01,7,69,1,20,1,1,0,48,0
18-01,8,160,0,41,0,8,0,111,0
18-01,9,152,1,44,0,8,0,100,1
18-02,0,87,1,24,0,2,0,61,1
18-02,1,31,0,5,0,1,0,25,0
18-02,10,68,0,24,0,2,0,42,0
18-02,11,97,0,21,0,5,0,71,0
18-02,12,112,0,21,0,9,0,82,0
18-02,13,127,0,20,0,7,0,100,0
18-02,14,147,1,41,1,10,0,96,0
18-02,15,161,2,41,1,6,0,114,1
18-02,16,144,0,44,0,7,0,93,0
18-02,17,155,0,52,0,7,0,96,0
18-02,18,214,3,79,2,18,0,117,1
18-02,19,158,1,71,1,8,0,79,0
18-02,2,35,1,4,0,0,0,31,1
18-02,20,112,1,40,1,7,0,65,0
18-02,21,106,1,29,1,11,0,66,0
18-02,22,85,0,23,0,3,0,59,0
18-02,23,82,0,16,0,7,0,59,0
18-02,3,27,0,7,0,2,0,18,0
18-02,4,24,0,6,0,1,0,17,0
18-02,5,34,0,11,0,3,0,20,0
18-02,6,66,0,27,0,0,0,39,0
18-02,7,67,0,24,0,2,0,41,0
18-02,8,142,0,35,0,7,0,100,0
18-02,9,109,0,31,0,8,0,70,0
18-03,0,114,0,25,0,2,0,87,0
18-03,1,34,0,9,0,1,0,24,0
18-03,10,110,2,38,1,4,0,68,1
18-03,11,113,0,33,0,4,0,76,0
18-03,12,158,2,39,2,2,0,117,0
18-03,13,131,0,27,0,10,0,94,0
18-03,14,164,1,53,0,7,0,104,1
18-03,15,196,0,47,0,14,0,135,0
18-03,16,203,0,42,0,15,0,146,0
18-03,17,204,0,40,0,21,0,142,0
18-03,18,161,0,46,0,10,0,105,0
18-03,19,160,0,44,0,13,0,103,0
18-03,2,46,0,4,0,1,0,41,0
18-03,20,132,0,43,0,10,0,79,0
18-03,21,139,1,30,1,14,0,95,0
18-03,22,107,0,18,0,9,0,80,0
18-03,23,95,0,20,0,2,0,73,0
18-03,3,38,0,5,0,1,0,32,0
18-03,4,24,0,6,0,0,0,18,0
18-03,5,40,3,9,2,2,0,29,1
18-03,6,62,0,18,0,3,0,41,0
18-03,7,81,0,22,0,6,0,53,0
18-03,8,187,0,57,0,11,0,119,0
18-03,9,122,0,41,0,5,0,76,0
18-04,0,82,0,25,0,0,0,56,0
18-04,1,34,0,4,0,3,0,27,0
18-04,10,83,0,22,0,5,0,56,0
18-04,11,125,0,28,0,10,0,87,0
18-04,12,111,0,22,0,15,0,74,0
18-04,13,132,2,35,1,5,0,91,1
18-04,14,152,0,33,0,7,0,112,0
18-04,15,161,0,38,0,15,0,108,0
18-04,16,191,0,29,0,23,0,140,0
18-04,17,173,0,35,0,16,0,122,0
18-04,18,182,0,34,0,20,0,128,0
18-04,19,117,0,17,0,12,0,87,0
18-04,2,27,0,7,0,0,0,20,0
18-04,20,117,0,39,0,16,0,62,0
18-04,21,123,0,21,0,14,0,88,0
18-04,22,88,1,17,1,9,0,62,0
18-04,23,67,0,14,0,3,0,47,0
18-04,3,30,1,3,0,1,0,26,1
18-04,4,41,0,8,0,1,0,31,0
18-04,5,33,0,4,0,0,0,29,0
18-04,6,60,0,8,0,0,0,50,0
18-04,7,101,0,19,0,6,0,74,0
18-04,8,152,0,36,0,7,0,109,0
18-04,9,108,0,21,0,4,0,83,0
