2018-11-07 06:47:36,"b'We are LOVING the @united lounge at @flyLAXairport - great artwork, awesome bar tenders, flavored water and delicio\xe2\x80\xa6 https://t.co/jRH6HmJbTJ'"
2018-11-07 06:38:28,"b'Some of the delightful amenities in the @united lounge at @flylaxairport ! We love the flavored waters, the bar sel\xe2\x80\xa6 https://t.co/tgp4nI9Q7I'"
2018-11-07 02:37:21,b'RT @treasurotica: #Vintage #UnitedAirlines #Stewardess #FlightAttendant Black #Leather Bag  https://t.co/dFkarL7wya #United #purse #purses\xe2\x80\xa6'
2018-11-07 02:00:25,b'Let\xe2\x80\x99s go!! On my way to L.A.!!! On set tomorrow \xf0\x9f\x98\x8e\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x8e\xa5\xf0\x9f\x93\xba\xe2\x9c\x88\xef\xb8\x8f\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#actorslife #setlife #newbeginningsentertainment\xe2\x80\xa6 https://t.co/19qHSCS1pP'
2018-11-07 00:41:44,b'When your airplane is stopped on the runway #UnitedAirlines https://t.co/NrAcqQFHmp'
2018-11-07 00:18:46,"b'Earn 40,000 bonus miles with the United Explorer Card. I can be rewarded too, learn more. #travel #creditcard\xe2\x80\xa6 https://t.co/SWmzlkBdnc'"
2018-11-06 23:13:04,"b'Flying @united 40 min late departing (already boarded) then ""It will be another 55 minutes until we depart"" tires i\xe2\x80\xa6 https://t.co/lvWMrvZoMf'"
2018-11-06 23:02:30,"b'If you are from NJ and know someone named Patricia Atkins, please tell her that openly screaming at #UnitedAirlines\xe2\x80\xa6 https://t.co/EzusgvlJ27'"
2018-11-06 22:55:54,b'Checked in before my #Oahu #Hawaii flight with @united &amp; noticed the first item prohibited on the plane is #paint ?\xe2\x80\xa6 https://t.co/Q4mkzEc4Kh'
2018-11-06 22:17:01,"b'See how  Oscar Munoz, United Airlines CEO and LDC Board Member, stresses the importance of voting.\xe2\x80\xa6 https://t.co/TQ9L6Y7QOX'"
2018-11-06 22:14:13,"b'@portlandjetport Can someone please order pizza, wings and lobster rolls and deliver to Gate 3 #poweroutage #portlandme #unitedAIRLINES'"
2018-11-06 22:09:10,b'#UnitedAirlines #help My husband was on flight 867 on 11/3 in 6L. He left a purple moleskin #Notebook written over\xe2\x80\xa6 https://t.co/dcjvtWnTl0'
2018-11-06 22:01:45,"b""Can't believe united airlines charges to have a second small carry on like a laptop case on economy.  This is so se\xe2\x80\xa6 https://t.co/x0Dij9v3U3"""
2018-11-06 21:53:30,b'FIRST 787-10 Series from Boeing being delivered to United Airlines\n\nFlight UA2712 from Charleston to Washington\xe2\x80\xa6 https://t.co/HCLW2MvLyP'
2018-11-06 21:17:20,"b""Reasons I will not fly @united again.\n1. Paying for a check-in luggage regardless of it's weight.\n2. Customer servi\xe2\x80\xa6 https://t.co/sptYIGATFT"""
2018-11-06 20:58:11,b'I have been sitting at the Houston George Bush Intercontinental airport for the past 5.5 hours (had to come early b\xe2\x80\xa6 https://t.co/mLERujsfwf'
2018-11-06 19:53:19,b'God I love flying #unitedairlines #chicagobound @ Charlotte Douglas International Airport https://t.co/bNQ3N1LLtw'
2018-11-06 19:17:07,b'First time passenger on United Airlines this week. Thanks @united for awesome flights. About to board the last leg.\xe2\x80\xa6 https://t.co/bNDCQCe58T'
2018-11-06 17:46:26,b'RT @KYLORENNYY: It\xe2\x80\x99s 7:16 and my flight leaves at 8:00.. I\xe2\x80\x99m still checking in! They\xe2\x80\x99re saying my rabbbit isn\xe2\x80\x99t going on?? Even though I ha\xe2\x80\xa6'
2018-11-06 16:55:17,"b""Annoying that pulling away from the gate is 'leaving on time' now we sit on the tarmac. #unitedairlines playing the game"""
2018-11-06 15:29:17,b'RT @AviationTribune: United Airlines Takes Delivery of Its First Boeing 787-10 #UnitedAirlines https://t.co/9IPoK5GDo7 https://t.co/IVicV0T\xe2\x80\xa6'
2018-11-06 15:23:09,b'RT @AviationTribune: United Airlines Takes Delivery of Its First Boeing 787-10 #UnitedAirlines https://t.co/9IPoK5GDo7 https://t.co/IVicV0T\xe2\x80\xa6'
2018-11-06 15:12:17,b'United Airlines Takes Delivery of Its First Boeing 787-10 #UnitedAirlines https://t.co/9IPoK5GDo7 https://t.co/IVicV0TvJC'
2018-11-06 14:34:09,b'RT @JaspreetUnited: Extremely excited for the 787-10 delivery &amp; also can\xe2\x80\x99t wait to see the new seatback IFE system flying in front of passe\xe2\x80\xa6'
2018-11-06 13:45:41,b'RT @VexVox: #unitedairlines when the guitar got broke the share price fell by 10% compared to 4% for passenger assault. #twang'
2018-11-06 13:19:55,"b""I'll be flying most of today. Hopefully there will be good news before I go to bed tonight in #MO. #UnitedAirlines\xe2\x80\xa6 https://t.co/IMrZzjx2Bb"""
2018-11-06 12:17:57,b'It\xe2\x80\x99s 7:16 and my flight leaves at 8:00.. I\xe2\x80\x99m still checking in! They\xe2\x80\x99re saying my rabbbit isn\xe2\x80\x99t going on?? Even tho\xe2\x80\xa6 https://t.co/mWTJlbW6C7'
2018-11-06 11:15:16,"b'Dear #unitedairlines, pray tell, how are both one\xe2\x80\x99s feet supposed to fit on this tiny ass \xe2\x80\x9cottoman\xe2\x80\x9d? @ Newark Liber\xe2\x80\xa6 https://t.co/Cz8nZTzCIw'"
2018-11-06 05:28:07,b'Fun night bowling with 49er players and my daughter meeting Ian Williams\n#49ersfoundation #49ers #UnitedAirlines\xe2\x80\xa6 https://t.co/aP6hQyFTzw'
2018-11-06 05:04:36,"b""@FlyMe2Disney Don't be another #UnitedAirlines. Treat your customers with respect or, at least, common courtesy\n#delta @delta"""
2018-11-06 04:50:08,b'United Club am Flughafen Seattle https://t.co/zu2YFvwwBW #sea #unitedairlines #unitedclub'
2018-11-06 04:20:10,"b'Annual donation of the Ben Flyin Adventure Bears to Sky Ridge Medical Center, Pediatrics ED~\n#BenFlyin #DENSOC\xe2\x80\xa6 https://t.co/1S6dmsiGQ9'"
2018-11-06 03:56:47,"b'RT @UnitedFlyerHD: United Express ERJ-145 (N13908, opb ExpressJet) lining up on Houston IAH 33L, with an American A321 waiting behind \n#AvG\xe2\x80\xa6'"
2018-11-06 03:02:19,b'Welcome to St. Kitts! ..our new billboards are up \xf0\x9f\x8c\xb4\xf0\x9f\x98\x81 \xf0\x9f\xa5\xa5 Proud to have this island as our partner &amp; now 2 billboards\xe2\x80\xa6 https://t.co/N9z6MX37ym'
2018-11-06 03:01:26,b'@UnitedAirHelp really do not understand how the plane is half full and I am unable to move seats. Take notes from D\xe2\x80\xa6 https://t.co/DnmHWq03Wh'
2018-11-06 00:57:30,b'Is it ever possible for #unitedairlines to perform maintenance prior to passengers boarding their airplanes?'
2018-11-06 00:53:37,b'Trying to catch a flight out of Newark via @united this evening and am astonished by United\xe2\x80\x99s poor service - delays\xe2\x80\xa6 https://t.co/aTf3XedNkt'
2018-11-05 20:56:40,b'RT @JaspreetUnited: Extremely excited for the 787-10 delivery &amp; also can\xe2\x80\x99t wait to see the new seatback IFE system flying in front of passe\xe2\x80\xa6'
2018-11-05 20:56:15,b'Extremely excited for the 787-10 delivery &amp; also can\xe2\x80\x99t wait to see the new seatback IFE system flying in front of p\xe2\x80\xa6 https://t.co/gvv5a0GyKG'
2018-11-05 20:08:14,"b'HAV to HOU 24 hour flight cancel, exhausting with no lunch or water! Very poor communication. I got 1/4 price compe\xe2\x80\xa6 https://t.co/j3loIqJnM3'"
2018-11-05 19:48:20,b'Monday Funday #workadventures #boston #beantown #unitedairlines https://t.co/QME5I1wJo2'
2018-11-05 18:53:43,b'So #unitedairlines charges you for your check-in bags(regardless of weight) now...okay definitely not flying with t\xe2\x80\xa6 https://t.co/S9ViQ0p77y'
2018-11-05 18:34:54,b'Finally I understand how they make reality tv out of airports - 11 hr delay because \xe2\x80\x9csomeone forgot to charge the a\xe2\x80\xa6 https://t.co/9PJWZPOo9e'
2018-11-05 17:25:42,b'Once again delayed flying  #UnitedAirlines. Can understand weather issues but mechanical problems AGAIN!  Sitting a\xe2\x80\xa6 https://t.co/yYDnVk8Jpk'
2018-11-05 17:05:28,b'RT @kingkevin: Thank you @united for a safe and wonderful first flight for our 2 month old traveler!  An amazing flight crew On UA642 today\xe2\x80\xa6'
2018-11-05 16:53:15,b'Argh. Mechanical plane issues. Disembarked and waiting on landing gear computer replacement. Kind of need that.. #ifly #UnitedAirlines'
2018-11-05 16:00:06,b'RT @kingkevin: Thank you @united for a safe and wonderful first flight for our 2 month old traveler!  An amazing flight crew On UA642 today\xe2\x80\xa6'
2018-11-05 15:53:43,b'RT @kingkevin: Thank you @united for a safe and wonderful first flight for our 2 month old traveler!  An amazing flight crew On UA642 today\xe2\x80\xa6'
2018-11-05 15:52:17,b'RT @kingkevin: Thank you @united for a safe and wonderful first flight for our 2 month old traveler!  An amazing flight crew On UA642 today\xe2\x80\xa6'
2018-11-05 15:50:20,b'RT @kingkevin: Thank you @united for a safe and wonderful first flight for our 2 month old traveler!  An amazing flight crew On UA642 today\xe2\x80\xa6'
2018-11-05 15:37:06,"b'Best part about #unitedairlines is their lounge. Where for a measly $50, this homeless looking football hooligan ca\xe2\x80\xa6 https://t.co/z5nSQUI5a8'"
2018-11-05 15:32:23,"b'How\xe2\x80\x99s the air quality on your flights, @united? #gross #mold #dirty #nasty #unitedairlines Please @Delta  start fly\xe2\x80\xa6 https://t.co/sRc0c4RmBo'"
2018-11-05 15:18:09,b'#UnitedAirlines first class is reduced to #Spiritair big front seat! Wasn\xe2\x80\x99t even offered a glass of water before take off! #neveragain'
2018-11-05 14:54:31,b'Thanks #United #UnitedAirlines #TCSNYCMarathon https://t.co/I2l9xjpIe1'
2018-11-05 13:44:40,b'Is it just me or does it seem like now everybody is group 1 on United? #unitedairlines @thepointsguy #group0 #groupA #groupAA'
2018-11-05 13:41:43,b'Ready to take off \xf0\x9f\x98\x8c \xf0\x9f\x9b\xab @united  #UnitedAirlines #CDMX #USA https://t.co/9tNXXGfETd'
2018-11-05 13:29:57,b'Whole row baby!!!\n#unitedairlines # https://t.co/vSPPByTfIr'
2018-11-05 13:02:07,"b'Was able to get an earlier flight home from D.C. - middle row, waaay back.  However, it beats waiting around anothe\xe2\x80\xa6 https://t.co/yBjzGszJXz'"
2018-11-05 12:41:37,b'European Investor\xe2\x80\x99s notes from a road trip to California #underarmour #Tesla #alamo #unitedairlines #ElonMusk\xe2\x80\xa6 https://t.co/pocYokixK5'
2018-11-05 12:38:24,"b'#UnitedAirlines has the worst customer service! My god, never flying with them again'"
2018-11-05 06:04:59,b'RT @ben_kearney: Zach Werenski - the new face of United Airlines. @UnitedAirlines #UnitedAirlines #CBJ #NHL #StanleyCup https://t.co/fswuAH\xe2\x80\xa6'
2018-11-05 03:19:27,b'Welcome Aboard!\xe2\x9c\x88\xef\xb8\x8f\xe2\x9c\x88\xef\xb8\x8f #unitedairlines #flythefriendlyskies #CSA #lovemyjob https://t.co/IzKP9L4qsg'
2018-11-05 03:10:56,"b""RT @skootchy114: U would think the fact the airplane sat at the gate for 2 hours waiting for a crew there wouldn't be a maintenance issue.\xe2\x80\xa6"""
2018-11-05 03:10:40,b'RT @LKokoczka: Not flying #unitedairlines ever again. Told me yesterday is would only be a $75 fee to change my flight to Sunday as long as\xe2\x80\xa6'
2018-11-05 03:10:15,b'RT @KVilseck: How do you lose the pilots to the flight they are supposed to be at 2 hours ago? Just #unitedairlines things.'
2018-11-05 03:10:11,b'RT @sliorco: I was asked to try and reach out to their customer care myself instead of #unitedairlines do it themselves. like its not enoug\xe2\x80\xa6'
2018-11-05 03:10:03,"b'RT @skootchy114: 2 hour delay turns into worse. Deplaned, no status on potential fix for maintenance issue, not even a voucher for food whi\xe2\x80\xa6'"
2018-11-05 03:09:24,b'RT @StedronCurt: #UnitedAirlines so we wait 2 hours for the plane to show up. It does. Then there is no pilot? Cmon. You had 2 hours!!!'
2018-11-05 03:09:13,b'RT @moriartyj: @jolim24601 They said all the hotels are booked and left us to fend for ourselves. Rebooked us on a flight back with 3 legs\xe2\x80\xa6'
2018-11-05 03:08:27,b'RT @kkayyppee: MY THIRD DAY WITHOUT MY LUGGAGE; IT IS NOW THE AFTERNOON &amp; #UNITEDAIRLINES HAS YET TO RESOLVE THE ISSUE.'
2018-11-05 03:07:51,"b""RT @kaleytodd: @united @united unbelievable you don't have any agents helping to rebook and your representative on the phone said to talk t\xe2\x80\xa6"""
2018-11-05 03:07:44,b'RT @kkayyppee: #UnitedAirlines \xe2\x80\x94 what\xe2\x80\x99s the status on my luggage!?'
2018-11-05 03:07:09,b'RT @fairytalewish: @united Flight 6254 from Cincinnati is 5 hours late due to mechanical issue and now no flight attendant! Why are passeng\xe2\x80\xa6'
2018-11-05 02:40:08,b'Who at #unitedairlines can give me the number to call for dealing with about 10 issues I had with my flight and bag\xe2\x80\xa6 https://t.co/5URXLtLWMg'
2018-11-05 02:39:02,b'@united Flight 6254 from Cincinnati is 5 hours late due to mechanical issue and now no flight attendant! Why are pa\xe2\x80\xa6 https://t.co/s2pD0tPgi1'
2018-11-05 01:44:03,b'@JohnLegere flew #UnitedAirlines for the first time and they didn\xe2\x80\x99t have @TMobile GOGO!! Last time I fly with them\xe2\x80\xa6 https://t.co/EMSiBSxVEf'
2018-11-05 01:27:33,"b'RT @UnitedFlyerHD: United Express ERJ-145 (N13908, opb ExpressJet) lining up on Houston IAH 33L, with an American A321 waiting behind \n#AvG\xe2\x80\xa6'"
2018-11-05 01:24:00,b'Crossing the terminator into night. #inflight #boeing757 #unitedairlines #travel #airtravel #nofilter #sunset\xe2\x80\xa6 https://t.co/b5Pr4Z8yXc'
2018-11-05 01:11:58,b'Cute little Pizzeria Uno Deep Dish Pizza and some Labour\xc3\xa9-Roi Chardonnay #pizzeriauno #laboureroi #chardonnay\xe2\x80\xa6 https://t.co/rUL2bjbqyA'
2018-11-05 00:50:55,"b'RT @UnitedFlyerHD: United Express ERJ-145 (N13908, opb ExpressJet) lining up on Houston IAH 33L, with an American A321 waiting behind \n#AvG\xe2\x80\xa6'"
2018-11-05 00:16:45,b'Loving the Classified restaurant @EWRairport! Thanks for the invite @united! #unitedairlines #friendlyskies\xe2\x80\xa6 https://t.co/YpVTzBkKKf'
2018-11-05 00:07:53,"b'Bye bye beautiful Los Angeles, til next time... #losangeles #unitedairlines #businesstravel #lax #airport #boeing757 https://t.co/W0wvZ1enW5'"
2018-11-04 22:10:00,b'United is in the house volunteering for the hydration station at the NYC Marathon! #WeAreUnited #United2winNYC\xe2\x80\xa6 https://t.co/cQ37JuWfic'
2018-11-04 21:12:56,b'Walking up 103 floors?  Why not?#skyrise #shirleylab #unitedairlines #teamunited @weareunited @MikeHannaUAL\xe2\x80\xa6 https://t.co/NBloT461I4'
2018-11-04 19:51:58,b'RT @davidhenze01: #UnitedAirlines kudos to the Salt Lake City counter crew. The made the best out of a bad situation.'
2018-11-04 19:31:38,"b'RT @UnitedFlyerHD: United Express ERJ-145 (N13908, opb ExpressJet) lining up on Houston IAH 33L, with an American A321 waiting behind \n#AvG\xe2\x80\xa6'"
2018-11-04 19:31:08,"b'United Express ERJ-145 (N13908, opb ExpressJet) lining up on Houston IAH 33L, with an American A321 waiting behind\xe2\x80\xa6 https://t.co/O2gacwK8cJ'"
2018-11-04 18:48:58,b'That time when you are on a plane &amp; they just announce there\xe2\x80\x99s currently no pilot \xf0\x9f\x91\xa8\xe2\x80\x8d\xe2\x9c\x88\xef\xb8\x8f\xe2\x9c\x88\xef\xb8\x8f#youhadonejob #unitedairlines #stuckontherunway'
2018-11-04 18:13:26,b'A slightly different perspective.\n\n#america #heartland #panorama #photography #infrared #ir #infraredphotography\xe2\x80\xa6 https://t.co/2UXf8uJkBr'
2018-11-04 18:04:00,"b""@united @united unbelievable you don't have any agents helping to rebook and your representative on the phone said\xe2\x80\xa6 https://t.co/4aYFBMJ1EG"""
2018-11-04 17:37:43,b'@united diverted to Dayton Ohio because heater in pilots window not working.  Really?  Time to spare fly by air. No\xe2\x80\xa6 https://t.co/l0aNVjjDF5'
2018-11-04 16:55:17,b'Almost a five hour \xe2\x80\x99smooth\xe2\x80\x99 flight \xe2\x9c\x88\xef\xb8\x8f  from Puerto Rico. Arriving in Houston #unitedairlines #chipandchuck @ Housto\xe2\x80\xa6 https://t.co/DKIAC1RS3T'
2018-11-04 16:46:30,"b""Thank you #unitedAIRLINES for changing the brake pads on this plane. It's important to be able to slow the plane do\xe2\x80\xa6 https://t.co/UShpCQLacS"""
2018-11-04 16:07:30,b'RT @etravelmail: United Airlines launches new Boeing 777-300ER on Mumbai-New York/Newark route\nhttps://t.co/yaSs0SNBeu\n@united \n#unitedairl\xe2\x80\xa6'
2018-11-04 14:31:03,b'Fall flying with the friendly skies... #unitedAIRLINES @united  take care of me today! https://t.co/caFpygS6aX'
2018-11-04 14:03:51,b'Bittersweet #airportselfie. It\xe2\x80\x99s my last flight on #unitedairlines from #sandiego before #Nashville becomes home ba\xe2\x80\xa6 https://t.co/JOMVN7RxP6'
2018-11-04 14:03:22,b'Bittersweet #airportselfie. It\xe2\x80\x99s my last flight on #unitedairlines from #sandiego before #Nashville becomes home ba\xe2\x80\xa6 https://t.co/2RoLabDpj9'
2018-11-04 13:38:00,b'Burayidi Weekly News: Baggage Handler\xf0\x9f\x9b\xaband Hydroponic Farm\xf0\x9f\x8c\xbe\n\n#burayidiweeklynews #fakenews #cnn #nbc #cbs #abc\xe2\x80\xa6 https://t.co/c6S9Q4nckK'
2018-11-04 11:53:36,b'RT @msomeha: Another bad day by #UnitedAirlines and it\xe2\x80\x99s my wedding week. 4 hours delay with no compensation. No special assistance even if\xe2\x80\xa6'
2018-11-04 11:52:39,"b'RT @anniesalonen: This is #UnitedAirlines customer service. Flight was cancelled AFTER 3 delays, bc the flight crew didn\xe2\x80\x99t know they were g\xe2\x80\xa6'"
2018-11-04 11:52:31,"b'RT @thejenhardy: A #disabled woman was forgotten, then abandoned by #UnitedAirlines staff at closing time last night.  \nAnd that woman was\xe2\x80\xa6'"
2018-11-04 11:48:39,b'RT @moriartyj: @jolim24601 They said all the hotels are booked and left us to fend for ourselves. Rebooked us on a flight back with 3 legs\xe2\x80\xa6'
2018-11-04 11:11:19,b'Do you think #unitedairlines will be live streaming the NYC marathon? Asking for a friend'
2018-11-04 10:21:16,"b'#unitedairlines did it again, placing me #backbus for a privileged white woman instead after we had saved our miles\xe2\x80\xa6 https://t.co/V19FSc5J4a'"
2018-11-04 08:46:23,b'RT @BhatkhalkarA: #UnitedAirlines has introduced Boeing 777-300ER aircraft on its #Mumbai - #NewYork / #Newark route. The airline has serve\xe2\x80\xa6'
2018-11-04 07:05:02,"b'VIDEO: London to Denver with @United Airlines - Interview with Bob Schumacher, #UnitedAirlines (UK)\xe2\x80\xa6 https://t.co/y38I2Tdpkn'"
2018-11-04 05:51:23,b'Somebody was super good on the plane! #schnauzer #shanghaitolosangeles #calidog #unitedairlines @ Shanghai Pudong I\xe2\x80\xa6 https://t.co/1jn3pHQRC9'
2018-11-04 03:19:44,b'4 hour flight \xe2\x9c\x88\xef\xb8\x8f  from Chicago on my way home from a great and inspiring ACSM meeting in Indy and I have the perfec\xe2\x80\xa6 https://t.co/fmckYoA887'
2018-11-04 02:46:19,b'Hello #northpole!  #topoftheworld #unitedairlines #polaris #newarkliberty #beijing #bigappletopeking #boeing777 https://t.co/gYWjibIujC'
2018-11-04 02:04:47,"b""After a long but amazing business trip to Houston I ran into a slight issue at the airport with @united, but I'm GR\xe2\x80\xa6 https://t.co/beSWpICXqr"""
2018-11-04 00:33:08,"b'NOT COOL, UNITED! \n\n#unitedairlines #unitedeffedupmyluggage\n#travelfail #thiswasntacheapbag\n#unitedbaggagehandlers\xe2\x80\xa6 https://t.co/ohovShp1nY'"
2018-11-03 23:33:47,b'#formandfunction iahhouston love what you all have done!  \xf0\x9f\x92\x9a #unitedairlines https://t.co/tnGQAybn9Q'
2018-11-03 22:00:05,b'Flight UA20  #houston to #amsterdam plane  sucks! #UnitedAirlines'
2018-11-03 20:44:53,b'Hey #unitedAIRLINES you totally sold a different plane and this flight is going to suck.... #firstclass always suck\xe2\x80\xa6 https://t.co/s9pRl3d7hE'
2018-11-03 20:35:06,"b'How hard is it to get from IAD to LaGuardia, #unitedAIRLINES? The flight was supposed to take off at 12:30 and here\xe2\x80\xa6 https://t.co/0fJPgLOKC8'"
2018-11-03 19:41:37,b'Fuckin Airports #unitedairlines https://t.co/HUNtXvT1Oa'
2018-11-03 15:46:44,b'A United Airlines Boeing 777-222 on runway 25R during takeoff at LAX. \xf0\x9f\x93\xb7\xf0\x9f\x9b\xab\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #LAX #LosAngelesInternationalAirport\xe2\x80\xa6 https://t.co/VzYTqjaEDc'
2018-11-03 15:03:39,b'@united Just waited 5 hours on your airplane waiting to take off - just to find out it not going to take off Today.\xe2\x80\xa6 https://t.co/xXk1i6dGkE'
2018-11-03 14:51:51,b'United Airlines Marathon 2018 - NYC. My son John Sowa.  #unitedAIRLINES  https://t.co/KH3WYml0Gv'
2018-11-03 14:51:23,b'@jolim24601 They said all the hotels are booked and left us to fend for ourselves. Rebooked us on a flight back wit\xe2\x80\xa6 https://t.co/7Px5hElmgg'
2018-11-03 14:47:38,b'RT @jolim24601: #unitedAIRLINES cancelled our #TLV -&gt; #EWR flight due to mechanical issues and it looks like we won\xe2\x80\x99t be getting on a plane\xe2\x80\xa6'
2018-11-03 14:06:33,"b'Welcome to #unitedAIRLINES where we equip our aircraft with kiddy belts.  I\xe2\x80\x99m 6 foot 6 and over weight, but I\xe2\x80\x99m not\xe2\x80\xa6 https://t.co/OYIw0rA6N5'"
2018-11-03 14:02:23,b'When you fly first class for the first time and the @united lounge in Chicago won\xe2\x80\x99t  let you in unless you pay. App\xe2\x80\xa6 https://t.co/5rnoC6Pw13'
2018-11-03 13:53:28,"b'United Air Lines Douglas DC-6 Mainliner 300, c.1950 - United Air Lines Postcard | For sale on Delcampe\xe2\x80\xa6 https://t.co/Re0BAozDA9'"
2018-11-03 13:37:03,b'RT @jolim24601: #unitedAIRLINES cancelled our #TLV -&gt; #EWR flight due to mechanical issues and it looks like we won\xe2\x80\x99t be getting on a plane\xe2\x80\xa6'
2018-11-03 13:31:54,b'#unitedAIRLINES cancelled our #TLV -&gt; #EWR flight due to mechanical issues and it looks like we won\xe2\x80\x99t be getting on\xe2\x80\xa6 https://t.co/OoAJe26tfe'
2018-11-03 12:31:04,b'Off to New York for the NYC Marathon. One more day!\n#travelingtrader #nycmarathon #newyorknewyork #nikeplusrunning\xe2\x80\xa6 https://t.co/jPsJSQjB7s'
2018-11-03 12:16:37,b'#foggy #morning at Newark Airport!\n#unitedairlines #instaclouds #instamorning @ Newark Liberty International Airport https://t.co/88tQYBZ5LI'
