,WikiPageName,Party,State,congress_number
0,John_Dingell,Democratic,Michigan,113
1,John_Conyers,Democratic,Michigan,113
2,Charles_Rangel,Democratic,New York,113
3,Bill_Young,Republican,Florida,113
4,Don_Young,Republican,Alaska,113
5,George_Miller_(California_politician),Democratic,California,113
6,Henry_Waxman,Democratic,California,113
7,Ed_Markey,Democratic,Massachusetts,113
8,Nick_Rahall,Democratic,West Virginia,113
9,Jim_Sensenbrenner,Republican,Wisconsin,113
10,Tom_Petri,Republican,Wisconsin,113
11,Ralph_Hall,Republican,Texas,113
12,Hal_Rogers,Republican,Kentucky,113
13,Chris_Smith_(New_Jersey_politician),Republican,New Jersey,113
14,Frank_Wolf_(politician),Republican,Virginia,113
15,Steny_Hoyer,Democratic,Maryland,113
16,Marcy_Kaptur,Democratic,Ohio,113
17,Sander_Levin,Democratic,Michigan,113
18,Joe_Barton,Republican,Texas,113
19,Howard_Coble,Republican,North Carolina,113
20,Pete_Visclosky,Democratic,Indiana,113
21,Peter_DeFazio,Democratic,Oregon,113
22,John_Lewis_(civil_rights_leader),Democratic,Georgia,113
23,Louise_Slaughter,Democratic,New York,113
24,Lamar_Smith,Republican,Texas,113
25,Fred_Upton,Republican,Michigan,113
26,Nancy_Pelosi,Democratic,California,113
27,Frank_Pallone,Democratic,New Jersey,113
28,Jimmy_Duncan_(politician),Republican,Tennessee,113
29,Eliot_Engel,Democratic,New York,113
30,Nita_Lowey,Democratic,New York,113
31,Jim_McDermott,Democratic,Washington,113
32,Richard_Neal,Democratic,Massachusetts,113
33,Dana_Rohrabacher,Republican,California,113
34,Ileana_Ros-Lehtinen,Republican,Florida,113
35,José_E._Serrano,Democratic,New York,113
36,Rob_Andrews,Democratic,New Jersey,113
37,David_Price_(American_politician),Democratic,North Carolina,113
38,John_Boehner,Republican,Ohio,113
39,Dave_Camp,Republican,Michigan,113
40,Rosa_DeLauro,Democratic,Connecticut,113
41,Jim_Moran,Democratic,Virginia,113
42,Collin_Peterson,Democratic,Minnesota,113
43,Maxine_Waters,Democratic,California,113
44,Sam_Johnson,Republican,Texas,113
45,Ed_Pastor,Democratic,Arizona,113
46,Jerrold_Nadler,Democratic,New York,113
47,Jim_Cooper,Democratic,Tennessee,113
48,Spencer_Bachus,Republican,Alabama,113
49,Xavier_Becerra,Democratic,California,113
50,Sanford_Bishop,Democratic,Georgia,113
51,Corrine_Brown,Democratic,Florida,113
52,Ken_Calvert,Republican,California,113
53,Jim_Clyburn,Democratic,South Carolina,113
54,Anna_Eshoo,Democratic,California,113
55,Bob_Goodlatte,Republican,Virginia,113
56,Gene_Green,Democratic,Texas,113
57,Luis_Gutiérrez,Democratic,Illinois,113
58,Alcee_Hastings,Democratic,Florida,113
59,Eddie_Bernice_Johnson,Democratic,Texas,113
60,Peter_T._King,Republican,New York,113
61,Jack_Kingston,Republican,Georgia,113
62,Carolyn_Maloney,Democratic,New York,113
63,Buck_McKeon,Republican,California,113
64,John_Mica,Republican,Florida,113
65,Lucille_Roybal-Allard,Democratic,California,113
66,Ed_Royce,Republican,California,113
67,Bobby_Rush,Democratic,Illinois,113
68,Bobby_Scott_(politician),Democratic,Virginia,113
69,Nydia_Velázquez,Democratic,New York,113
70,Mel_Watt,Democratic,North Carolina,113
71,Bennie_Thompson,Democratic,Mississippi,113
72,Sam_Farr,Democratic,California,113
73,Frank_Lucas_(Oklahoma_politician),Republican,Oklahoma,113
74,Lloyd_Doggett,Democratic,Texas,113
75,Michael_F._Doyle,Democratic,Pennsylvania,113
76,Chaka_Fattah,Democratic,Pennsylvania,113
77,Rodney_Frelinghuysen,Republican,New Jersey,113
78,Doc_Hastings,Republican,Washington,113
79,Sheila_Jackson_Lee,Democratic,Texas,113
80,Walter_B._Jones_Jr.,Republican,North Carolina,113
81,Tom_Latham_(politician),Republican,Iowa,113
82,Frank_LoBiondo,Republican,New Jersey,113
83,Zoe_Lofgren,Democratic,California,113
84,Mac_Thornberry,Republican,Texas,113
85,Ed_Whitfield,Republican,Kentucky,113
86,Elijah_Cummings,Democratic,Maryland,113
87,Earl_Blumenauer,Democratic,Oregon,113
88,Jo_Ann_Emerson,Republican,Missouri,113
89,Robert_Aderholt,Republican,Alabama,113
90,Kevin_Brady,Republican,Texas,113
91,Danny_K._Davis,Democratic,Illinois,113
92,Diana_DeGette,Democratic,Colorado,113
93,Kay_Granger,Republican,Texas,113
94,Rubén_Hinojosa,Democratic,Texas,113
95,Ron_Kind,Democratic,Wisconsin,113
96,Carolyn_McCarthy,Democratic,New York,113
97,Jim_McGovern_(American_politician),Democratic,Massachusetts,113
98,Mike_McIntyre,Democratic,North Carolina,113
99,Bill_Pascrell,Democratic,New Jersey,113
100,Joe_Pitts,Republican,Pennsylvania,113
101,Loretta_Sanchez,Democratic,California,113
102,Pete_Sessions,Republican,Texas,113
103,Brad_Sherman,Democratic,California,113
104,John_Shimkus,Republican,Illinois,113
105,Adam_Smith_(politician),Democratic,Washington,113
106,John_F._Tierney,Democratic,Massachusetts,113
107,Gregory_Meeks,Democratic,New York,113
108,Lois_Capps,Democratic,California,113
109,Barbara_Lee,Democratic,California,113
110,Bob_Brady,Democratic,Pennsylvania,113
111,Steve_Chabot,Republican,Ohio,113
112,Mike_Capuano,Democratic,Massachusetts,113
113,Joe_Crowley,Democratic,New York,113
114,Rush_Holt_Jr.,Democratic,New Jersey,113
115,John_B._Larson,Democratic,Connecticut,113
116,Gary_Miller,Republican,California,113
117,Grace_Napolitano,Democratic,California,113
118,Paul_Ryan,Republican,Wisconsin,113
119,Jan_Schakowsky,Democratic,Illinois,113
120,Mike_Simpson,Republican,Idaho,113
121,Lee_Terry,Republican,Nebraska,113
122,Mike_Thompson_(California_politician),Democratic,California,113
123,Greg_Walden,Republican,Oregon,113
124,Eric_Cantor,Republican,Virginia,113
125,Shelley_Moore_Capito,Republican,West Virginia,113
126,Lacy_Clay,Democratic,Missouri,113
127,Ander_Crenshaw,Republican,Florida,113
128,John_Culberson,Republican,Texas,113
129,Susan_Davis_(politician),Democratic,California,113
130,Sam_Graves,Republican,Missouri,113
131,Mike_Honda,Democratic,California,113
132,Steve_Israel,Democratic,New York,113
133,Darrell_Issa,Republican,California,113
134,James_Langevin,Democratic,Rhode Island,113
135,Rick_Larsen,Democratic,Washington,113
136,Jim_Matheson,Democratic,Utah,113
137,Betty_McCollum,Democratic,Minnesota,113
138,Mike_Rogers_(Michigan_politician),Republican,Michigan,113
139,Adam_Schiff,Democratic,California,113
140,Pat_Tiberi,Republican,Ohio,113
141,Bill_Shuster,Republican,Pennsylvania,113
142,Randy_Forbes,Republican,Virginia,113
143,Stephen_F._Lynch,Democratic,Massachusetts,113
144,Jeff_Miller_(Florida_politician),Republican,Florida,113
145,Joe_Wilson_(American_politician),Republican,South Carolina,113
146,Rodney_Alexander,Republican,Louisiana,113
147,Rob_Bishop,Republican,Utah,113
148,Tim_Bishop,Democratic,New York,113
149,Marsha_Blackburn,Republican,Tennessee,113
150,Jo_Bonner,Republican,Alabama,113
151,Michael_C._Burgess,Republican,Texas,113
152,John_Carter_(Texas_politician),Republican,Texas,113
153,Tom_Cole,Republican,Oklahoma,113
154,Mario_Díaz-Balart,Republican,Florida,113
155,Trent_Franks,Republican,Arizona,113
156,Scott_Garrett,Republican,New Jersey,113
157,Jim_Gerlach,Republican,Pennsylvania,113
158,Phil_Gingrey,Republican,Georgia,113
159,Raúl_Grijalva,Democratic,Arizona,113
160,Jeb_Hensarling,Republican,Texas,113
161,Steve_King,Republican,Iowa,113
162,John_Kline_(politician),Republican,Minnesota,113
163,Mike_Michaud,Democratic,Maine,113
164,Candice_Miller,Republican,Michigan,113
165,Tim_Murphy_(American_politician),Republican,Pennsylvania,113
166,Devin_Nunes,Republican,California,113
167,Mike_Rogers_(Alabama_politician),Republican,Alabama,113
168,Dutch_Ruppersberger,Democratic,Maryland,113
169,Tim_Ryan_(politician),Democratic,Ohio,113
170,Linda_Sánchez,Democratic,California,113
171,David_Scott_(Georgia_politician),Democratic,Georgia,113
172,Mike_Turner,Republican,Ohio,113
173,Chris_Van_Hollen,Democratic,Maryland,113
174,Randy_Neugebauer,Republican,Texas,113
175,G._K._Butterfield,Democratic,North Carolina,113
176,John_Barrow_(U.S._politician),Democratic,Georgia,113
177,Charles_Boustany,Republican,Louisiana,113
178,Emanuel_Cleaver,Democratic,Missouri,113
179,Mike_Conaway,Republican,Texas,113
180,Jim_Costa,Democratic,California,113
181,Henry_Cuellar,Democratic,Texas,113
182,Charlie_Dent,Republican,Pennsylvania,113
183,Jeff_Fortenberry,Republican,Nebraska,113
184,Virginia_Foxx,Republican,North Carolina,113
185,Louie_Gohmert,Republican,Texas,113
186,Al_Green_(politician),Democratic,Texas,113
187,Brian_Higgins,Democratic,New York,113
188,Dan_Lipinski,Democratic,Illinois,113
189,Kenny_Marchant,Republican,Texas,113
190,Michael_McCaul,Republican,Texas,113
191,Patrick_McHenry,Republican,North Carolina,113
192,Cathy_McMorris_Rodgers,Republican,Washington,113
193,Gwen_Moore,Democratic,Wisconsin,113
194,Ted_Poe,Republican,Texas,113
195,Tom_Price_(American_politician),Republican,Georgia,113
196,Dave_Reichert,Republican,Washington,113
197,Allyson_Schwartz,Democratic,Pennsylvania,113
198,Debbie_Wasserman_Schultz,Democratic,Florida,113
199,Lynn_Westmoreland,Republican,Georgia,113
200,Doris_Matsui,Democratic,California,113
201,John_B._T._Campbell_III,Republican,California,113
202,Albio_Sires,Democratic,New Jersey,113
203,Steve_Pearce_(politician),Republican,New Mexico,113
204,Michele_Bachmann,Republican,Minnesota,113
205,Gus_Bilirakis,Republican,Florida,113
206,Bruce_Braley,Democratic,Iowa,113
207,Vern_Buchanan,Republican,Florida,113
208,Kathy_Castor,Democratic,Florida,113
209,Yvette_Clarke,Democratic,New York,113
210,Steve_Cohen,Democratic,Tennessee,113
211,Joe_Courtney_(politician),Democratic,Connecticut,113
212,Keith_Ellison,Democratic,Minnesota,113
213,Hank_Johnson,Democratic,Georgia,113
214,Jim_Jordan_(American_politician),Republican,Ohio,113
215,Doug_Lamborn,Republican,Colorado,113
216,Dave_Loebsack,Democratic,Iowa,113
217,Kevin_McCarthy_(California_politician),Republican,California,113
218,Jerry_McNerney,Democratic,California,113
219,Ed_Perlmutter,Democratic,Colorado,113
220,Peter_Roskam,Republican,Illinois,113
221,John_Sarbanes,Democratic,Maryland,113
222,Adrian_Smith_(politician),Republican,Nebraska,113
223,Tim_Walz,Democratic,Minnesota,113
224,Peter_Welch,Democratic,Vermont,113
225,John_Yarmuth,Democratic,Kentucky,113
226,Paul_Broun,Republican,Georgia,113
227,Niki_Tsongas,Democratic,Massachusetts,113
228,Bob_Latta,Republican,Ohio,113
229,Rob_Wittman,Republican,Virginia,113
230,André_Carson,Democratic,Indiana,113
231,Jackie_Speier,Democratic,California,113
232,Steve_Scalise,Republican,Louisiana,113
233,Donna_Edwards,Democratic,Maryland,113
234,Marcia_Fudge,Democratic,Ohio,113
235,Rick_Nolan,Democratic,Minnesota,113
236,Matt_Salmon,Republican,Arizona,113
237,Bill_Cassidy,Republican,Louisiana,113
238,Jason_Chaffetz,Republican,Utah,113
239,Mike_Coffman,Republican,Colorado,113
240,Gerry_Connolly,Democratic,Virginia,113
241,John_Fleming_(American_politician),Republican,Louisiana,113
242,Brett_Guthrie,Republican,Kentucky,113
243,Gregg_Harper,Republican,Mississippi,113
244,Jim_Himes,Democratic,Connecticut,113
245,Duncan_D._Hunter,Republican,California,113
246,Lynn_Jenkins,Republican,Kansas,113
247,Leonard_Lance,Republican,New Jersey,113
248,Blaine_Luetkemeyer,Republican,Missouri,113
249,Ben_Ray_Luján,Democratic,New Mexico,113
250,Cynthia_Lummis,Republican,Wyoming,113
251,Tom_McClintock,Republican,California,113
252,Pete_Olson,Republican,Texas,113
253,Erik_Paulsen,Republican,Minnesota,113
254,Gary_Peters,Democratic,Michigan,113
255,Chellie_Pingree,Democratic,Maine,113
256,Jared_Polis,Democratic,Colorado,113
257,Bill_Posey,Republican,Florida,113
258,Phil_Roe_(politician),Republican,Tennessee,113
259,Tom_Rooney_(Florida_politician),Republican,Florida,113
260,Aaron_Schock,Republican,Illinois,113
261,Kurt_Schrader,Democratic,Oregon,113
262,Glenn_Thompson_(politician),Republican,Pennsylvania,113
263,Paul_Tonko,Democratic,New York,113
264,Mike_Quigley_(politician),Democratic,Illinois,113
265,Judy_Chu,Democratic,California,113
266,John_Garamendi,Democratic,California,113
267,Bill_Owens_(New_York_politician),Democratic,New York,113
268,Ted_Deutch,Democratic,Florida,113
269,Tom_Graves,Republican,Georgia,113
270,Tom_Reed_(politician),Republican,New York,113
271,Marlin_Stutzman,Republican,Indiana,113
272,Mike_Fitzpatrick,Republican,Pennsylvania,113
273,Carol_Shea-Porter,Democratic,New Hampshire,113
274,Tim_Walberg,Republican,Michigan,113
275,Bill_Foster_(politician),Democratic,Illinois,113
276,Justin_Amash,Republican,Michigan,113
277,Lou_Barletta,Republican,Pennsylvania,113
278,Karen_Bass,Democratic,California,113
279,Dan_Benishek,Republican,Michigan,113
280,Diane_Black,Republican,Tennessee,113
281,Mo_Brooks,Republican,Alabama,113
282,Larry_Bucshon,Republican,Indiana,113
283,John_Carney_(politician),Democratic,Delaware,113
284,David_Cicilline,Democratic,Rhode Island,113
285,Rick_Crawford_(politician),Republican,Arkansas,113
286,Jeff_Denham,Republican,California,113
287,Scott_DesJarlais,Republican,Tennessee,113
288,Sean_Duffy,Republican,Wisconsin,113
289,Jeff_Duncan_(politician),Republican,South Carolina,113
290,Renee_Ellmers,Republican,North Carolina,113
291,Blake_Farenthold,Republican,Texas,113
292,Stephen_Fincher,Republican,Tennessee,113
293,Chuck_Fleischmann,Republican,Tennessee,113
294,Bill_Flores,Republican,Texas,113
295,Cory_Gardner,Republican,Colorado,113
296,Bob_Gibbs,Republican,Ohio,113
297,Chris_Gibson_(New_York_politician),Republican,New York,113
298,Paul_Gosar,Republican,Arizona,113
299,Trey_Gowdy,Republican,South Carolina,113
300,Tim_Griffin,Republican,Arkansas,113
301,Morgan_Griffith,Republican,Virginia,113
302,Michael_Grimm_(politician),Republican,New York,113
303,Colleen_Hanabusa,Democratic,Hawaii,113
304,Richard_L._Hanna,Republican,New York,113
305,Andy_Harris_(politician),Republican,Maryland,113
306,Vicky_Hartzler,Republican,Missouri,113
307,Joe_Heck,Republican,Nevada,113
308,Jaime_Herrera_Beutler,Republican,Washington,113
309,Tim_Huelskamp,Republican,Kansas,113
310,Bill_Huizenga,Republican,Michigan,113
311,Randy_Hultgren,Republican,Illinois,113
312,Robert_Hurt_(politician),Republican,Virginia,113
313,Bill_Johnson_(Ohio_politician),Republican,Ohio,113
314,Bill_Keating_(politician),Democratic,Massachusetts,113
315,Mike_Kelly_(Pennsylvania_politician),Republican,Pennsylvania,113
316,Adam_Kinzinger,Republican,Illinois,113
317,Raúl_Labrador,Republican,Idaho,113
318,James_Lankford,Republican,Oklahoma,113
319,Billy_Long,Republican,Missouri,113
320,Tom_Marino,Republican,Pennsylvania,113
321,David_McKinley,Republican,West Virginia,113
322,Pat_Meehan,Republican,Pennsylvania,113
323,Mick_Mulvaney,Republican,South Carolina,113
324,Kristi_Noem,Republican,South Dakota,113
325,Rich_Nugent,Republican,Florida,113
326,Alan_Nunnelee,Republican,Mississippi,113
327,Steven_Palazzo,Republican,Mississippi,113
328,Mike_Pompeo,Republican,Kansas,113
329,Jim_Renacci,Republican,Ohio,113
330,Reid_Ribble,Republican,Wisconsin,113
331,Cedric_Richmond,Democratic,Louisiana,113
332,Scott_Rigell,Republican,Virginia,113
333,Martha_Roby,Republican,Alabama,113
334,Todd_Rokita,Republican,Indiana,113
335,Dennis_Ross_(politician),Republican,Florida,113
336,Jon_Runyan,Republican,New Jersey,113
337,David_Schweikert,Republican,Arizona,113
338,Austin_Scott_(politician),Republican,Georgia,113
339,Terri_Sewell,Democratic,Alabama,113
340,Steve_Southerland_(Florida_politician),Republican,Florida,113
341,Steve_Stivers,Republican,Ohio,113
342,Scott_Tipton,Republican,Colorado,113
343,Daniel_Webster_(Florida_politician),Republican,Florida,113
344,Frederica_Wilson,Democratic,Florida,113
345,Steve_Womack,Republican,Arkansas,113
346,Rob_Woodall,Republican,Georgia,113
347,Kevin_Yoder,Republican,Kansas,113
348,Todd_Young,Republican,Indiana,113
349,Janice_Hahn,Democratic,California,113
350,Mark_Amodei,Republican,Nevada,113
351,Suzanne_Bonamici,Democratic,Oregon,113
352,Ron_Barber,Democratic,Arizona,113
353,Suzan_DelBene,Democratic,Washington,113
354,Thomas_Massie,Republican,Kentucky,113
355,Donald_Payne_Jr.,Democratic,New Jersey,113
356,Steve_Stockman,Republican,Texas,113
357,Alan_Grayson,Democratic,Florida,113
358,Ann_Kirkpatrick,Democratic,Arizona,113
359,Dan_Maffei,Democratic,New York,113
360,Dina_Titus,Democratic,Nevada,113
361,Andy_Barr_(American_politician),Republican,Kentucky,113
362,Joyce_Beatty,Democratic,Ohio,113
363,Kerry_Bentivolio,Republican,Michigan,113
364,Ami_Bera,Democratic,California,113
365,Jim_Bridenstine,Republican,Oklahoma,113
366,Susan_Brooks,Republican,Indiana,113
367,Julia_Brownley,Democratic,California,113
368,Cheri_Bustos,Democratic,Illinois,113
369,Tony_Cárdenas,Democratic,California,113
370,Matt_Cartwright,Democratic,Pennsylvania,113
371,Joaquín_Castro,Democratic,Texas,113
372,Chris_Collins_(American_politician),Republican,New York,113
373,Doug_Collins_(politician),Republican,Georgia,113
374,Paul_Cook_(politician),Republican,California,113
375,Tom_Cotton,Republican,Arkansas,113
376,Kevin_Cramer,Republican,North Dakota,113
377,Steve_Daines,Republican,Montana,113
378,Rodney_Davis_(politician),Republican,Illinois,113
379,John_Delaney_(Maryland_politician),Democratic,Maryland,113
380,Ron_DeSantis,Republican,Florida,113
381,Tammy_Duckworth,Democratic,Illinois,113
382,William_Enyart,Democratic,Illinois,113
383,Elizabeth_Esty,Democratic,Connecticut,113
384,Lois_Frankel,Democratic,Florida,113
385,Tulsi_Gabbard,Democratic,Hawaii,113
386,Pete_Gallego,Democratic,Texas,113
387,Joe_Garcia,Democratic,Florida,113
388,Dennis_Heck,Democratic,Washington,113
389,George_Holding,Republican,North Carolina,113
390,Steven_Horsford,Democratic,Nevada,113
391,Richard_Hudson_(American_politician),Republican,North Carolina,113
392,Jared_Huffman,Democratic,California,113
393,Hakeem_Jeffries,Democratic,New York,113
394,David_Joyce_(politician),Republican,Ohio,113
395,Joe_Kennedy_III,Democratic,Massachusetts,113
396,Dan_Kildee,Democratic,Michigan,113
397,Derek_Kilmer,Democratic,Washington,113
398,Ann_McLane_Kuster,Democratic,New Hampshire,113
399,Doug_LaMalfa,Republican,California,113
400,Alan_Lowenthal,Democratic,California,113
401,Michelle_Lujan_Grisham,Democratic,New Mexico,113
402,Sean_Patrick_Maloney,Democratic,New York,113
403,Gloria_Negrete_McLeod,Democratic,California,113
404,Mark_Meadows_(North_Carolina_politician),Republican,North Carolina,113
405,Grace_Meng,Democratic,New York,113
406,Luke_Messer,Republican,Indiana,113
407,Markwayne_Mullin,Republican,Oklahoma,113
408,Patrick_Murphy_(Florida_politician),Democratic,Florida,113
409,Beto_O'Rourke,Democratic,Texas,113
410,Scott_Perry_(politician),Republican,Pennsylvania,113
411,Scott_Peters_(politician),Democratic,California,113
412,Robert_Pittenger,Republican,North Carolina,113
413,Mark_Pocan,Democratic,Wisconsin,113
414,Trey_Radel,Republican,Florida,113
415,Tom_Rice,Republican,South Carolina,113
416,Keith_Rothfus,Republican,Pennsylvania,113
417,Raul_Ruiz_(politician),Democratic,California,113
418,Brad_Schneider,Democratic,Illinois,113
419,Kyrsten_Sinema,Democratic,Arizona,113
420,Chris_Stewart_(politician),Republican,Utah,113
421,Eric_Swalwell,Democratic,California,113
422,Mark_Takano,Democratic,California,113
423,David_Valadao,Republican,California,113
424,Juan_Vargas,Democratic,California,113
425,Marc_Veasey,Democratic,Texas,113
426,Filemon_Vela_Jr.,Democratic,Texas,113
427,Ann_Wagner,Republican,Missouri,113
428,Jackie_Walorski,Republican,Indiana,113
429,Randy_Weber,Republican,Texas,113
430,Brad_Wenstrup,Republican,Ohio,113
431,Roger_Williams_(American_politician),Republican,Texas,113
432,Ted_Yoho,Republican,Florida,113
433,Robin_Kelly,Democratic,Illinois,113
434,Mark_Sanford,Republican,South Carolina,113
435,Jason_Smith_(politician),Republican,Missouri,113
436,Vance_McAllister,Republican,Louisiana,113
437,Katherine_Clark,Democratic,Massachusetts,113
438,Bradley_Byrne,Republican,Alabama,113
439,David_Jolly,Republican,Florida,113
440,Curt_Clawson,Republican,Florida,113
441,Alma_Adams,Democratic,North Carolina,113
442,Dave_Brat,Republican,Virginia,113
443,Donald_Norcross,Democratic,New Jersey,113
444,John_Conyers,Democratic,Michigan,114
445,Charles_Rangel,Democratic,New York,114
446,Don_Young,Republican,Alaska,114
447,Jim_Sensenbrenner,Republican,Wisconsin,114
448,Hal_Rogers,Republican,Kentucky,114
